target_id,pair,var_a,var_b,model,winner,confidence,reasoning,swapped,persona_index
per-051,S+C-_vs_S-C+,S+C-,S-C+,gpt-4.1-mini,A,,,False,Dr. Alice Zhang
per-051,S+C-_vs_S-C+,S+C-,S-C+,deepseek-chat,A,,,False,Dr. Alice Zhang
per-051,S+C-_vs_S-C+,S+C-,S-C+,claude-sonnet-4-6,A,,,False,Dr. Alice Zhang
per-051,S+C+_vs_S+C-,S+C+,S+C-,gpt-4.1-mini,A,,,False,Dr. Alice Zhang
per-051,S+C+_vs_S+C-,S+C+,S+C-,deepseek-chat,A,,,False,Dr. Alice Zhang
per-051,S+C+_vs_S+C-,S+C+,S+C-,claude-sonnet-4-6,A,,,False,Dr. Alice Zhang
per-052,S+C-_vs_S-C+,S+C-,S-C+,gpt-4.1-mini,A,,,False,Dr. Samuel Johnson
per-052,S+C-_vs_S-C+,S+C-,S-C+,deepseek-chat,A,,,False,Dr. Samuel Johnson
per-052,S+C-_vs_S-C+,S+C-,S-C+,claude-sonnet-4-6,A,,,False,Dr. Samuel Johnson
per-052,S+C+_vs_S+C-,S+C+,S+C-,gpt-4.1-mini,A,,,False,Dr. Samuel Johnson
per-052,S+C+_vs_S+C-,S+C+,S+C-,deepseek-chat,A,,,False,Dr. Samuel Johnson
per-052,S+C+_vs_S+C-,S+C+,S+C-,claude-sonnet-4-6,A,,,False,Dr. Samuel Johnson
per-053,S+C-_vs_S-C+,S+C-,S-C+,gpt-4.1-mini,A,,,False,Dr. Fatima Al-Mansouri
per-053,S+C-_vs_S-C+,S+C-,S-C+,deepseek-chat,A,,,False,Dr. Fatima Al-Mansouri
per-053,S+C-_vs_S-C+,S+C-,S-C+,claude-sonnet-4-6,A,,,False,Dr. Fatima Al-Mansouri
per-053,S+C+_vs_S+C-,S+C+,S+C-,gpt-4.1-mini,A,,,False,Dr. Fatima Al-Mansouri
per-053,S+C+_vs_S+C-,S+C+,S+C-,deepseek-chat,A,,,False,Dr. Fatima Al-Mansouri
per-053,S+C+_vs_S+C-,S+C+,S+C-,claude-sonnet-4-6,A,,,False,Dr. Fatima Al-Mansouri
per-054,S+C-_vs_S-C+,S+C-,S-C+,gpt-4.1-mini,A,,,False,Dr. Ivan Petrov
per-054,S+C-_vs_S-C+,S+C-,S-C+,deepseek-chat,A,,,False,Dr. Ivan Petrov
per-054,S+C-_vs_S-C+,S+C-,S-C+,claude-sonnet-4-6,A,,,False,Dr. Ivan Petrov
per-054,S+C+_vs_S+C-,S+C+,S+C-,gpt-4.1-mini,A,,,False,Dr. Ivan Petrov
