target_id,pair,var_a,var_b,model,winner,confidence,reasoning
per-001,S+C-_vs_S-C+,S+C-,S-C+,gpt-4.1,A,5,
per-002,S+C-_vs_S-C+,S+C-,S-C+,gpt-4.1,A,5,
per-003,S+C-_vs_S-C+,S+C-,S-C+,gpt-4.1,A,5,
per-004,S+C-_vs_S-C+,S+C-,S-C+,gpt-4.1,B,5,
per-005,S+C-_vs_S-C+,S+C-,S-C+,gpt-4.1,B,5,
per-006,S+C-_vs_S-C+,S+C-,S-C+,gpt-4.1,A,5,
per-007,S+C-_vs_S-C+,S+C-,S-C+,gpt-4.1,B,5,
per-008,S+C-_vs_S-C+,S+C-,S-C+,gpt-4.1,A,5,
per-009,S+C-_vs_S-C+,S+C-,S-C+,gpt-4.1,B,5,
per-010,S+C-_vs_S-C+,S+C-,S-C+,gpt-4.1,B,5,
per-011,S+C-_vs_S-C+,S+C-,S-C+,gpt-4.1,B,5,
per-012,S+C-_vs_S-C+,S+C-,S-C+,gpt-4.1,A,5,
per-013,S+C-_vs_S-C+,S+C-,S-C+,gpt-4.1,A,5,
per-014,S+C-_vs_S-C+,S+C-,S-C+,gpt-4.1,B,5,
per-015,S+C-_vs_S-C+,S+C-,S-C+,gpt-4.1,A,5,
per-016,S+C-_vs_S-C+,S+C-,S-C+,gpt-4.1,A,5,
per-017,S+C-_vs_S-C+,S+C-,S-C+,gpt-4.1,B,5,
per-018,S+C-_vs_S-C+,S+C-,S-C+,gpt-4.1,A,5,
per-019,S+C-_vs_S-C+,S+C-,S-C+,gpt-4.1,B,5,
per-020,S+C-_vs_S-C+,S+C-,S-C+,gpt-4.1,B,5,
per-021,S+C-_vs_S-C+,S+C-,S-C+,gpt-4.1,B,5,
per-022,S+C-_vs_S-C+,S+C-,S-C+,gpt-4.1,A,5,
per-023,S+C-_vs_S-C+,S+C-,S-C+,gpt-4.1,B,5,
per-024,S+C-_vs_S-C+,S+C-,S-C+,gpt-4.1,A,5,
per-025,S+C-_vs_S-C+,S+C-,S-C+,gpt-4.1,A,5,
per-026,S+C-_vs_S-C+,S+C-,S-C+,gpt-4.1,A,5,
per-027,S+C-_vs_S-C+,S+C-,S-C+,gpt-4.1,B,5,
per-028,S+C-_vs_S-C+,S+C-,S-C+,gpt-4.1,A,5,
per-029,S+C-_vs_S-C+,S+C-,S-C+,gpt-4.1,B,5,
per-030,S+C-_vs_S-C+,S+C-,S-C+,gpt-4.1,A,5,
per-031,S+C-_vs_S-C+,S+C-,S-C+,gpt-4.1,B,5,
per-032,S+C-_vs_S-C+,S+C-,S-C+,gpt-4.1,A,5,
per-033,S+C-_vs_S-C+,S+C-,S-C+,gpt-4.1,A,5,
per-034,S+C-_vs_S-C+,S+C-,S-C+,gpt-4.1,A,5,
per-035,S+C-_vs_S-C+,S+C-,S-C+,gpt-4.1,B,5,
per-036,S+C-_vs_S-C+,S+C-,S-C+,gpt-4.1,A,5,
per-037,S+C-_vs_S-C+,S+C-,S-C+,gpt-4.1,B,5,
per-038,S+C-_vs_S-C+,S+C-,S-C+,gpt-4.1,A,5,
per-039,S+C-_vs_S-C+,S+C-,S-C+,gpt-4.1,B,5,
per-040,S+C-_vs_S-C+,S+C-,S-C+,gpt-4.1,B,5,
per-041,S+C-_vs_S-C+,S+C-,S-C+,gpt-4.1,B,5,
per-042,S+C-_vs_S-C+,S+C-,S-C+,gpt-4.1,A,5,
per-043,S+C-_vs_S-C+,S+C-,S-C+,gpt-4.1,A,5,
per-044,S+C-_vs_S-C+,S+C-,S-C+,gpt-4.1,A,5,
per-045,S+C-_vs_S-C+,S+C-,S-C+,gpt-4.1,B,5,
per-046,S+C-_vs_S-C+,S+C-,S-C+,gpt-4.1,A,5,
per-047,S+C-_vs_S-C+,S+C-,S-C+,gpt-4.1,B,5,
per-048,S+C-_vs_S-C+,S+C-,S-C+,gpt-4.1,A,5,
per-049,S+C-_vs_S-C+,S+C-,S-C+,gpt-4.1,B,5,
per-050,S+C-_vs_S-C+,S+C-,S-C+,gpt-4.1,B,5,
