target_id,pair,model,winner
rev-001,S+C-_vs_S-C+,gpt-4.1-mini,B
rev-001,S+C-_vs_S-C+,deepseek-chat,B
rev-001,S+C-_vs_S-C+,claude-sonnet-4-6,B
rev-001,S-C+_vs_S-C-,gpt-4.1-mini,A
rev-001,S-C+_vs_S-C-,deepseek-chat,A
rev-001,S-C+_vs_S-C-,claude-sonnet-4-6,A
rev-002,S+C-_vs_S-C+,gpt-4.1-mini,B
rev-002,S+C-_vs_S-C+,deepseek-chat,B
rev-002,S+C-_vs_S-C+,claude-sonnet-4-6,B
rev-002,S-C+_vs_S-C-,gpt-4.1-mini,A
rev-002,S-C+_vs_S-C-,deepseek-chat,A
rev-002,S-C+_vs_S-C-,claude-sonnet-4-6,A
rev-003,S+C-_vs_S-C+,gpt-4.1-mini,B
rev-003,S+C-_vs_S-C+,deepseek-chat,B
rev-003,S+C-_vs_S-C+,claude-sonnet-4-6,B
rev-003,S-C+_vs_S-C-,gpt-4.1-mini,A
rev-003,S-C+_vs_S-C-,deepseek-chat,A
rev-003,S-C+_vs_S-C-,claude-sonnet-4-6,A
rev-004,S+C-_vs_S-C+,gpt-4.1-mini,B
rev-004,S+C-_vs_S-C+,deepseek-chat,B
rev-004,S+C-_vs_S-C+,claude-sonnet-4-6,B
rev-004,S-C+_vs_S-C-,gpt-4.1-mini,A
rev-004,S-C+_vs_S-C-,deepseek-chat,A
rev-004,S-C+_vs_S-C-,claude-sonnet-4-6,A
rev-005,S+C-_vs_S-C+,gpt-4.1-mini,B
rev-005,S+C-_vs_S-C+,deepseek-chat,B
rev-005,S+C-_vs_S-C+,claude-sonnet-4-6,B
rev-005,S-C+_vs_S-C-,gpt-4.1-mini,A
rev-005,S-C+_vs_S-C-,deepseek-chat,A
rev-005,S-C+_vs_S-C-,claude-sonnet-4-6,A
rev-006,S+C-_vs_S-C+,gpt-4.1-mini,B
rev-006,S+C-_vs_S-C+,deepseek-chat,B
rev-006,S+C-_vs_S-C+,claude-sonnet-4-6,B
rev-006,S-C+_vs_S-C-,gpt-4.1-mini,A
rev-006,S-C+_vs_S-C-,deepseek-chat,A
rev-006,S-C+_vs_S-C-,claude-sonnet-4-6,A
rev-007,S+C-_vs_S-C+,gpt-4.1-mini,B
rev-007,S+C-_vs_S-C+,deepseek-chat,B
rev-007,S+C-_vs_S-C+,claude-sonnet-4-6,B
rev-007,S-C+_vs_S-C-,gpt-4.1-mini,A
rev-007,S-C+_vs_S-C-,deepseek-chat,A
rev-007,S-C+_vs_S-C-,claude-sonnet-4-6,A
rev-008,S+C-_vs_S-C+,gpt-4.1-mini,B
rev-008,S+C-_vs_S-C+,deepseek-chat,B
rev-008,S+C-_vs_S-C+,claude-sonnet-4-6,B
rev-008,S-C+_vs_S-C-,gpt-4.1-mini,A
rev-008,S-C+_vs_S-C-,deepseek-chat,A
rev-008,S-C+_vs_S-C-,claude-sonnet-4-6,A
rev-009,S+C-_vs_S-C+,gpt-4.1-mini,B
rev-009,S+C-_vs_S-C+,deepseek-chat,B
rev-009,S+C-_vs_S-C+,claude-sonnet-4-6,B
rev-009,S-C+_vs_S-C-,gpt-4.1-mini,A
rev-009,S-C+_vs_S-C-,deepseek-chat,A
