target_id,pair,model,winner,confidence,swapped
per-004,Claude-gen S+C- vs S-C+,gpt-4.1-mini,A,5,False
per-004,Claude-gen S+C- vs S-C+,claude-sonnet-4-6,A,5,False
per-006,Claude-gen S+C- vs S-C+,gpt-4.1-mini,A,5,False
per-006,Claude-gen S+C- vs S-C+,claude-sonnet-4-6,A,5,False
per-007,Claude-gen S+C- vs S-C+,gpt-4.1-mini,A,5,True
per-007,Claude-gen S+C- vs S-C+,claude-sonnet-4-6,A,5,True
per-009,Claude-gen S+C- vs S-C+,gpt-4.1-mini,A,5,True
per-009,Claude-gen S+C- vs S-C+,claude-sonnet-4-6,A,5,True
per-010,Claude-gen S+C- vs S-C+,gpt-4.1-mini,A,4,False
per-010,Claude-gen S+C- vs S-C+,claude-sonnet-4-6,A,5,False
per-013,Claude-gen S+C- vs S-C+,gpt-4.1-mini,A,5,True
per-013,Claude-gen S+C- vs S-C+,claude-sonnet-4-6,A,5,True
per-014,Claude-gen S+C- vs S-C+,gpt-4.1-mini,A,5,False
per-014,Claude-gen S+C- vs S-C+,claude-sonnet-4-6,A,5,False
per-016,Claude-gen S+C- vs S-C+,gpt-4.1-mini,A,5,False
per-016,Claude-gen S+C- vs S-C+,claude-sonnet-4-6,A,5,False
per-017,Claude-gen S+C- vs S-C+,gpt-4.1-mini,A,5,True
per-017,Claude-gen S+C- vs S-C+,claude-sonnet-4-6,A,5,True
per-020,Claude-gen S+C- vs S-C+,gpt-4.1-mini,A,4,False
per-020,Claude-gen S+C- vs S-C+,claude-sonnet-4-6,A,5,False
per-021,Claude-gen S+C- vs S-C+,gpt-4.1-mini,A,5,True
per-021,Claude-gen S+C- vs S-C+,claude-sonnet-4-6,A,5,True
per-023,Claude-gen S+C- vs S-C+,gpt-4.1-mini,A,5,True
per-023,Claude-gen S+C- vs S-C+,claude-sonnet-4-6,A,5,True
per-024,Claude-gen S+C- vs S-C+,gpt-4.1-mini,A,5,False
per-024,Claude-gen S+C- vs S-C+,claude-sonnet-4-6,A,5,False
per-025,Claude-gen S+C- vs S-C+,gpt-4.1-mini,A,5,True
per-025,Claude-gen S+C- vs S-C+,claude-sonnet-4-6,A,5,True
per-030,Claude-gen S+C- vs S-C+,gpt-4.1-mini,A,5,False
per-030,Claude-gen S+C- vs S-C+,claude-sonnet-4-6,A,4,False
per-031,Claude-gen S+C- vs S-C+,gpt-4.1-mini,A,5,True
per-031,Claude-gen S+C- vs S-C+,claude-sonnet-4-6,A,5,True
per-032,Claude-gen S+C- vs S-C+,gpt-4.1-mini,A,5,False
per-032,Claude-gen S+C- vs S-C+,claude-sonnet-4-6,A,5,False
per-033,Claude-gen S+C- vs S-C+,gpt-4.1-mini,A,5,True
per-033,Claude-gen S+C- vs S-C+,claude-sonnet-4-6,A,5,True
per-039,Claude-gen S+C- vs S-C+,gpt-4.1-mini,A,5,True
per-039,Claude-gen S+C- vs S-C+,claude-sonnet-4-6,A,5,True
per-041,Claude-gen S+C- vs S-C+,gpt-4.1-mini,A,5,True
per-041,Claude-gen S+C- vs S-C+,claude-sonnet-4-6,A,5,True
per-047,Claude-gen S+C- vs S-C+,gpt-4.1-mini,A,5,True
per-047,Claude-gen S+C- vs S-C+,claude-sonnet-4-6,A,5,True
per-048,Claude-gen S+C- vs S-C+,gpt-4.1-mini,A,4,False
per-048,Claude-gen S+C- vs S-C+,claude-sonnet-4-6,A,5,False
