target_id,pair,var_a,var_b,model,winner,confidence,reasoning,swapped,persona_index
per-101,S+C-_vs_S-C+,S+C-,S-C+,gpt-4.1-mini,A,,,False,Dr. Pedro Alves
per-101,S+C-_vs_S-C+,S+C-,S-C+,deepseek-chat,A,,,False,Dr. Pedro Alves
per-101,S+C-_vs_S-C+,S+C-,S-C+,claude-sonnet-4-6,A,,,False,Dr. Pedro Alves
per-101,S+C+_vs_S+C-,S+C+,S+C-,gpt-4.1-mini,A,,,False,Dr. Pedro Alves
per-101,S+C+_vs_S+C-,S+C+,S+C-,deepseek-chat,A,,,False,Dr. Pedro Alves
per-101,S+C+_vs_S+C-,S+C+,S+C-,claude-sonnet-4-6,A,,,False,Dr. Pedro Alves
per-102,S+C-_vs_S-C+,S+C-,S-C+,gpt-4.1-mini,A,,,False,Dr. James Osei
per-102,S+C-_vs_S-C+,S+C-,S-C+,deepseek-chat,A,,,False,Dr. James Osei
per-102,S+C-_vs_S-C+,S+C-,S-C+,claude-sonnet-4-6,B,,,False,Dr. James Osei
per-102,S+C+_vs_S+C-,S+C+,S+C-,gpt-4.1-mini,A,,,False,Dr. James Osei
per-102,S+C+_vs_S+C-,S+C+,S+C-,deepseek-chat,A,,,False,Dr. James Osei
per-102,S+C+_vs_S+C-,S+C+,S+C-,claude-sonnet-4-6,A,,,False,Dr. James Osei
per-103,S+C-_vs_S-C+,S+C-,S-C+,gpt-4.1-mini,A,,,False,Dr. Pedro Alves
per-103,S+C-_vs_S-C+,S+C-,S-C+,deepseek-chat,A,,,False,Dr. Pedro Alves
per-103,S+C-_vs_S-C+,S+C-,S-C+,claude-sonnet-4-6,A,,,False,Dr. Pedro Alves
per-103,S+C+_vs_S+C-,S+C+,S+C-,gpt-4.1-mini,A,,,False,Dr. Pedro Alves
per-103,S+C+_vs_S+C-,S+C+,S+C-,deepseek-chat,A,,,False,Dr. Pedro Alves
per-103,S+C+_vs_S+C-,S+C+,S+C-,claude-sonnet-4-6,A,,,False,Dr. Pedro Alves
per-104,S+C-_vs_S-C+,S+C-,S-C+,gpt-4.1-mini,A,,,False,Dr. Tomas Nilsson
per-104,S+C-_vs_S-C+,S+C-,S-C+,deepseek-chat,A,,,False,Dr. Tomas Nilsson
per-104,S+C-_vs_S-C+,S+C-,S-C+,claude-sonnet-4-6,B,,,False,Dr. Tomas Nilsson
per-104,S+C+_vs_S+C-,S+C+,S+C-,gpt-4.1-mini,A,,,False,Dr. Tomas Nilsson
per-104,S+C+_vs_S+C-,S+C+,S+C-,deepseek-chat,A,,,False,Dr. Tomas Nilsson
per-104,S+C+_vs_S+C-,S+C+,S+C-,claude-sonnet-4-6,A,,,False,Dr. Tomas Nilsson
per-105,S+C-_vs_S-C+,S+C-,S-C+,gpt-4.1-mini,A,,,False,Dr. Marco Bellini
per-105,S+C-_vs_S-C+,S+C-,S-C+,deepseek-chat,A,,,False,Dr. Marco Bellini
per-105,S+C-_vs_S-C+,S+C-,S-C+,claude-sonnet-4-6,B,,,False,Dr. Marco Bellini
per-105,S+C+_vs_S+C-,S+C+,S+C-,gpt-4.1-mini,A,,,False,Dr. Marco Bellini
per-105,S+C+_vs_S+C-,S+C+,S+C-,deepseek-chat,A,,,False,Dr. Marco Bellini
per-105,S+C+_vs_S+C-,S+C+,S+C-,claude-sonnet-4-6,A,,,False,Dr. Marco Bellini
per-106,S+C-_vs_S-C+,S+C-,S-C+,gpt-4.1-mini,A,,,False,Dr. Birgit Svensson
per-106,S+C-_vs_S-C+,S+C-,S-C+,deepseek-chat,A,,,False,Dr. Birgit Svensson
per-106,S+C-_vs_S-C+,S+C-,S-C+,claude-sonnet-4-6,A,,,False,Dr. Birgit Svensson
per-106,S+C+_vs_S+C-,S+C+,S+C-,gpt-4.1-mini,A,,,False,Dr. Birgit Svensson
per-106,S+C+_vs_S+C-,S+C+,S+C-,deepseek-chat,A,,,False,Dr. Birgit Svensson
per-106,S+C+_vs_S+C-,S+C+,S+C-,claude-sonnet-4-6,A,,,False,Dr. Birgit Svensson
per-107,S+C-_vs_S-C+,S+C-,S-C+,gpt-4.1-mini,A,,,False,Dr. Aisha Mohammed
per-107,S+C-_vs_S-C+,S+C-,S-C+,deepseek-chat,A,,,False,Dr. Aisha Mohammed
per-107,S+C-_vs_S-C+,S+C-,S-C+,claude-sonnet-4-6,B,,,False,Dr. Aisha Mohammed
per-107,S+C+_vs_S+C-,S+C+,S+C-,gpt-4.1-mini,A,,,False,Dr. Aisha Mohammed
per-107,S+C+_vs_S+C-,S+C+,S+C-,deepseek-chat,A,,,False,Dr. Aisha Mohammed
per-107,S+C+_vs_S+C-,S+C+,S+C-,claude-sonnet-4-6,A,,,False,Dr. Aisha Mohammed
per-108,S+C-_vs_S-C+,S+C-,S-C+,gpt-4.1-mini,A,,,False,Dr. Ahmed Hassan
per-108,S+C-_vs_S-C+,S+C-,S-C+,deepseek-chat,A,,,False,Dr. Ahmed Hassan
per-108,S+C-_vs_S-C+,S+C-,S-C+,claude-sonnet-4-6,B,,,False,Dr. Ahmed Hassan
per-109,S+C-_vs_S-C+,S+C-,S-C+,gpt-4.1-mini,A,,,False,Dr. Marco Bellini
per-109,S+C-_vs_S-C+,S+C-,S-C+,deepseek-chat,A,,,False,Dr. Marco Bellini
per-109,S+C-_vs_S-C+,S+C-,S-C+,claude-sonnet-4-6,B,,,False,Dr. Marco Bellini
per-109,S+C+_vs_S+C-,S+C+,S+C-,gpt-4.1-mini,A,,,False,Dr. Marco Bellini
per-109,S+C+_vs_S+C-,S+C+,S+C-,deepseek-chat,A,,,False,Dr. Marco Bellini
per-109,S+C+_vs_S+C-,S+C+,S+C-,claude-sonnet-4-6,A,,,False,Dr. Marco Bellini
per-110,S+C-_vs_S-C+,S+C-,S-C+,gpt-4.1-mini,A,,,False,Dr. Ananya Sharma
per-110,S+C-_vs_S-C+,S+C-,S-C+,deepseek-chat,A,,,False,Dr. Ananya Sharma
per-110,S+C-_vs_S-C+,S+C-,S-C+,claude-sonnet-4-6,A,,,False,Dr. Ananya Sharma
per-110,S+C+_vs_S+C-,S+C+,S+C-,gpt-4.1-mini,A,,,False,Dr. Ananya Sharma
per-110,S+C+_vs_S+C-,S+C+,S+C-,deepseek-chat,A,,,False,Dr. Ananya Sharma
per-110,S+C+_vs_S+C-,S+C+,S+C-,claude-sonnet-4-6,A,,,False,Dr. Ananya Sharma
per-111,S+C-_vs_S-C+,S+C-,S-C+,gpt-4.1-mini,A,,,False,Dr. Olga Petrovna
per-111,S+C-_vs_S-C+,S+C-,S-C+,deepseek-chat,A,,,False,Dr. Olga Petrovna
per-111,S+C-_vs_S-C+,S+C-,S-C+,claude-sonnet-4-6,A,,,False,Dr. Olga Petrovna
per-111,S+C+_vs_S+C-,S+C+,S+C-,gpt-4.1-mini,A,,,False,Dr. Olga Petrovna
per-111,S+C+_vs_S+C-,S+C+,S+C-,deepseek-chat,A,,,False,Dr. Olga Petrovna
per-111,S+C+_vs_S+C-,S+C+,S+C-,claude-sonnet-4-6,A,,,False,Dr. Olga Petrovna
per-112,S+C-_vs_S-C+,S+C-,S-C+,gpt-4.1-mini,A,,,False,Dr. Zara Hussein
per-112,S+C-_vs_S-C+,S+C-,S-C+,deepseek-chat,A,,,False,Dr. Zara Hussein
per-112,S+C-_vs_S-C+,S+C-,S-C+,claude-sonnet-4-6,B,,,False,Dr. Zara Hussein
per-112,S+C+_vs_S+C-,S+C+,S+C-,gpt-4.1-mini,A,,,False,Dr. Zara Hussein
per-112,S+C+_vs_S+C-,S+C+,S+C-,deepseek-chat,A,,,False,Dr. Zara Hussein
per-112,S+C+_vs_S+C-,S+C+,S+C-,claude-sonnet-4-6,A,,,False,Dr. Zara Hussein
per-113,S+C-_vs_S-C+,S+C-,S-C+,gpt-4.1-mini,A,,,False,Dr. Marta Wisniewska
per-113,S+C-_vs_S-C+,S+C-,S-C+,deepseek-chat,A,,,False,Dr. Marta Wisniewska
per-113,S+C-_vs_S-C+,S+C-,S-C+,claude-sonnet-4-6,B,,,False,Dr. Marta Wisniewska
per-113,S+C+_vs_S+C-,S+C+,S+C-,gpt-4.1-mini,A,,,False,Dr. Marta Wisniewska
per-113,S+C+_vs_S+C-,S+C+,S+C-,deepseek-chat,A,,,False,Dr. Marta Wisniewska
per-113,S+C+_vs_S+C-,S+C+,S+C-,claude-sonnet-4-6,A,,,False,Dr. Marta Wisniewska
per-114,S+C-_vs_S-C+,S+C-,S-C+,gpt-4.1-mini,A,,,False,Dr. Mei Lin
