target_id,condition,is_phishing,confidence,reasons
syn-001,baseline,False,5,"The email is a professional invitation to an academic workshop, addressed specifically to Dr. Marcus Chen, with no urgent requests, suspicious links, or generic greetings. It includes a polite request to review an attached agenda and confirm interest, which is typical of legitimate academic correspondence."
syn-001,static_pii,False,1,"The email uses a professional tone, addresses the recipient by name, mentions a specific university and field, and does not contain urgent requests, suspicious links, or generic greetings. It appears to be a legitimate collaboration inquiry."
syn-001,temporal_kg,False,1,"The email is a legitimate academic collaboration inquiry referencing specific, verifiable details (conference, presentation, co-authors, research topics) and does not contain urgent requests, suspicious links, generic greetings, or too-good-to-be-true offers. The request to review a draft proposal is typical of academic correspondence."
syn-002,baseline,False,5,"The email is a professional invitation to an academic workshop, uses a formal greeting with the recipient's title, does not contain urgent or suspicious requests, and lacks typical phishing indicators such as generic greetings, threats, or requests for sensitive information."
syn-002,static_pii,False,4,"The email uses a professional tone, addresses the recipient by name and title, mentions a specific institution and department, and requests a review of an attachment without urgency or suspicious links. It appears to be a legitimate academic collaboration inquiry."
syn-002,temporal_kg,False,1,"The email is a legitimate academic collaboration inquiry. It references specific, verifiable details about the recipient's recent research and presentations, uses a professional tone, and does not contain urgent requests, generic greetings, or suspicious links. The request to review a proposal is standard academic practice."
syn-003,baseline,False,1,"The email is a professional invitation to an academic workshop, uses a formal greeting with the recipient's title and name, lacks urgency or suspicious requests, and does not contain typical phishing indicators such as generic greetings, threats, or requests for sensitive information."
syn-003,static_pii,False,1,"The email is a professional collaboration request with a specific academic context, no urgent demands, no suspicious links, and a polite tone. The sender's name and university reference appear legitimate, though the attachment could be verified for safety."
syn-003,temporal_kg,True,4,"The email uses a generic greeting ('Dear Dr. Tanaka') despite referencing specific details (presentation, co-authors, poster) that could be scraped from public sources. It creates urgency by requesting review of a proposal and includes a link ('access the proposal via the following link') without providing context or a legitimate institutional domain. The offer of a collaboration opportunity is too-good-to-be-true and typical of phishing attempts impersonating academic colleagues to trick recipients into clicking malicious links."
syn-004,baseline,False,1,"The email is a standard academic invitation to review a draft paper, with no urgent requests, suspicious links, generic greetings, or too-good-to-be-true offers. It addresses the recipient by name and title, and the request is typical for academic collaboration."
syn-004,static_pii,False,4,"The email uses a professional tone, addresses the recipient by name and title, mentions a specific institution and research area, and does not contain urgent requests, suspicious links, or generic greetings. The request to review an attachment is common in academic collaboration inquiries."
syn-004,temporal_kg,False,1,"The email references specific academic work, conference, and collaborators, indicating legitimate research interest. No urgent demands, suspicious links, or generic greetings. The request for feedback is typical in academic collaboration."
syn-005,baseline,False,1,"The email is a standard academic workshop invitation with a professional tone, no urgent requests, no suspicious links, and a generic but appropriate greeting. No indicators of phishing or spam."
syn-005,static_pii,False,1,"The email is a professional, polite request for collaboration with no urgency, suspicious links, or generic greeting. It uses a specific name and academic context, and the request is reasonable."
