target_id,tkg_subject,tkg_body,impersonal_subject,impersonal_body,tkg_wc,impersonal_wc
syn-001,Collaboration Inquiry on DNS Security and Homomorphic Encryption Research,"Dear Dr. Chen,

I recently attended your presentation on 'POPS: From History to Mitigation of DNS Cache Poisoning Attacks' at the 34th USENIX Security Symposium and was impressed by your work with Y. Afek and A. Bremler-Barr. Your poster on leveraging ASIC AI chips for homomorphic encryption at the USENIX Security '25 Poster Session also aligns closely with my current research interests. I would appreciate your feedback on a draft proposal that builds on your recent findings—would you be willing to review it and share your thoughts? Please let me know if you are interested, and I can send you the link to the document.

Best regards,
[Sender Name]",Potential Collaboration on Graph-Based Text Summarization Research,"Dear Researcher,

I am reaching out to share our recent findings presented at the 2024 International Conference on Computational Linguistics (ICCL). Our paper, ""Hierarchical Graph Networks for Multi-Document Summarization,"" introduces a novel approach using attention-based graph neural networks to improve summary coherence. We are currently seeking collaborators interested in extending this method to cross-lingual datasets, particularly focusing on low-resource languages. If you are working in related areas or have access to relevant corpora, I would be eager to discuss potential joint experiments or data sharing. Please let me know if you would like to review our preprint or explore collaboration opportunities.

Best regards,
Dr. Elena Markovic",109,106
syn-002,Collaboration Inquiry on DNS Security and Homomorphic Encryption Research,"Dear Dr. Lindqvist,

I recently attended your presentation on 'POPS: From History to Mitigation of DNS Cache Poisoning Attacks' at the 34th USENIX Security Symposium and was impressed by your insights, especially in collaboration with Y. Afek and A. Bremler-Barr. I also found your poster on leveraging ASIC AI chips for homomorphic encryption at the USENIX Security '25 Poster Session particularly relevant to my current work. I am reaching out to see if you would be interested in reviewing a short proposal I have drafted that builds on your recent findings. Please let me know your thoughts, or you can access the proposal directly via the following link.",Potential Collaboration on Graph-Based Text Summarization Research,"Dear Researcher,

I am reaching out to share our recent findings presented at the 2024 International Conference on Computational Linguistics (ICCL). Our paper, ""Hierarchical Graph Networks for Multi-Document Summarization,"" introduces a novel approach using attention-based graph neural networks to improve summary coherence. We are currently seeking collaborators interested in extending this method to cross-lingual datasets, particularly leveraging transformer-based embeddings. If you are exploring similar directions or would like to discuss potential joint experiments, I would be glad to share our annotated dataset and preliminary codebase. Please find more details in the attached PDF. Looking forward to your thoughts on possible collaboration.

Best regards,
Dr. Elena Markovic",108,106
syn-003,Follow-up on Your USENIX Security '25 Presentation and Collaboration Opportunity,"Dear Dr. Tanaka,

I recently attended your presentation on 'POPS: From History to Mitigation of DNS Cache Poisoning Attacks' at the 34th USENIX Security Symposium and was impressed by your insights, especially your collaboration with Y. Afek and A. Bremler-Barr. I also noticed your poster on leveraging ASIC AI chips for homomorphic encryption, which aligns closely with my current research interests. Would you be open to reviewing a brief proposal I’ve drafted for a potential joint project in this area? Please let me know your thoughts, or you can access the proposal via the following link.

Best regards,
Alex",Potential Collaboration on Graph-Based Text Summarization Research,"Dear Researcher,

I am reaching out after presenting my recent paper, ""Hierarchical Graph Networks for Abstractive Summarization,"" at the 2024 International Conference on Computational Linguistics. Our team developed a novel approach using multi-layered graph attention mechanisms to improve summary coherence. We are now seeking collaborators interested in extending this method to multilingual datasets and exploring reinforcement learning for summary optimization. If you are working in related areas or would like to discuss possible joint experiments, please review our preliminary results and methodology in the attached PDF. I look forward to your thoughts.

Best regards,
Dr. Elena Markovic",99,97
syn-004,Collaboration Inquiry on DNS Security and Homomorphic Encryption Research,"Dear Dr. Priya Nair,

I recently attended your presentation on 'POPS: From History to Mitigation of DNS Cache Poisoning Attacks' at the 34th USENIX Security Symposium and was impressed by your insights, especially in collaboration with Y. Afek and A. Bremler-Barr. Your poster on leveraging ASIC AI chips for homomorphic encryption at the USENIX Security '25 Poster Session also aligns closely with my current research interests. I would appreciate your feedback on a draft proposal that builds on your recent work—could you please review it and share your thoughts? You can access the document via the following link.

Best regards,
[Sender Name]",Potential Collaboration on Graph-Based Text Summarization Research,"Dear Researcher,

I am reaching out to share our recent findings presented at the 2024 International Conference on Computational Linguistics (ICCL). Our paper, ""Hierarchical Graph Networks for Multi-Document Summarization,"" introduces a novel approach using attention-based graph neural networks to improve summary coherence. We are currently seeking collaborators interested in extending this method to cross-lingual datasets and exploring reinforcement learning for summary optimization. If you are working in related areas or would like to discuss potential joint experiments, please review our preprint and let me know if you are interested in a virtual meeting.

Best regards,
Dr. Elena Markovic",102,98
syn-005,Collaboration Inquiry on DNS Security and Homomorphic Encryption Research,"Dear Dr. Weber,

I recently attended your presentation on 'POPS: From History to Mitigation of DNS Cache Poisoning Attacks' at the 34th USENIX Security Symposium and was impressed by your insights, especially your collaborations with Y. Afek and A. Bremler-Barr. I also found your poster on leveraging ASIC AI chips for homomorphic encryption at the USENIX Security '25 Poster Session particularly relevant to my current work. I am reaching out to see if you would be interested in reviewing a short proposal I have drafted that builds on your recent findings. Please let me know if you would be open to sharing your thoughts, and I can send you the document for your feedback.",Potential Collaboration on Graph-Based Text Summarization Research,"Dear Researcher,

I am reaching out to share our recent findings presented at the 2024 International Conference on Computational Linguistics (ICCL). Our paper, ""Hierarchical Graph Networks for Multi-Document Summarization,"" introduces a novel approach using attention-based graph neural networks to improve coherence in generated summaries. We are currently seeking collaborators interested in extending this method to cross-lingual datasets, particularly focusing on low-resource languages. If you are working in related areas or have access to relevant corpora, I believe a joint project could yield impactful results. Please let me know if you would like to discuss potential collaboration or receive a preprint of our latest results.

Best regards,
Dr. Elena Markovic",114,109
syn-006,Collaboration Inquiry on DNS Security and Homomorphic Encryption Research,"Dear Dr. Adeyemi,

I recently attended your presentation on 'POPS: From History to Mitigation of DNS Cache Poisoning Attacks' at the 34th USENIX Security Symposium and was impressed by your insights, especially your collaboration with Y. Afek and A. Bremler-Barr. I also noted your poster on leveraging ASIC AI chips for homomorphic encryption at the USENIX Security '25 Poster Session. I am currently working on a related project and would greatly appreciate your feedback on a draft proposal—would you be willing to review it and share your thoughts? Please let me know if I can send you the link.

Best regards,
[Sender Name]",Potential Collaboration on Graph-Based Text Summarization Research,"Dear Researcher,

I am reaching out to share our recent findings presented at the 2024 International Conference on Computational Linguistics (ICCL). Our paper, ""Hierarchical Graph Networks for Multi-Document Summarization,"" introduces a novel approach using attention-based graph neural networks to improve summary coherence. We are currently seeking collaborators interested in extending this method to cross-lingual datasets. If you are working in related areas or would like to discuss possible joint experiments, please review our supplementary materials at the link below. I believe your insights could be valuable for the next phase of this project.

Best regards,
Dr. Elena Markovic",103,98
syn-007,Collaboration Inquiry on DNS Security and Homomorphic Encryption Research,"Dear Dr. Al-Rashid,

I recently attended your presentation on 'POPS: From History to Mitigation of DNS Cache Poisoning Attacks' at the 34th USENIX Security Symposium and was impressed by your insights, especially your collaboration with Y. Afek and A. Bremler-Barr. I also noticed your poster on leveraging ASIC AI chips for homomorphic encryption at the USENIX Security '25 Poster Session, which aligns closely with my current research interests. I would appreciate your feedback on a draft proposal I am developing that builds on some of your recent findings—would you be willing to review it and share your thoughts? Please find the draft attached via the following link.

Looking forward to your perspective.",Potential Collaboration on Graph-Based Text Summarization Research,"Dear Researcher,

I am reaching out to share our recent findings presented at the 2024 International Conference on Computational Linguistics (ICCL). Our paper, ""Hierarchical Graph Networks for Multi-Document Summarization,"" introduces a novel approach using attention-based graph neural networks to improve summary coherence. We are currently seeking collaborators interested in extending this method to cross-lingual datasets, particularly focusing on low-resource languages. If you are working in related areas or have access to relevant corpora, I would be eager to discuss potential joint experiments or data sharing. Please let me know if you would like to review our preprint or explore collaboration opportunities.

Best regards,
Dr. Elena Markovic
Department of Computer Science
Eastbridge University",112,112
syn-008,Follow-up on USENIX Security '25 and Collaboration Opportunity,"Dear Dr. Mendes,

I attended your presentation on 'POPS: From History to Mitigation of DNS Cache Poisoning Attacks' at the 34th USENIX Security Symposium and was impressed by your work with Y. Afek and A. Bremler-Barr. I also noticed your poster on leveraging ASIC AI chips for homomorphic encryption at the USENIX Security '25 Poster Session. I am currently exploring related topics and would greatly appreciate your feedback on a draft proposal—could you please review it at the following link and share your thoughts?

Best regards,

[Sender Name]",Potential Collaboration on Graph-Based Text Summarization Research,"Dear Researcher,

I am reaching out after presenting my recent paper, ""Hierarchical Graph Networks for Abstractive Summarization,"" at the 2024 International Conference on Computational Linguistics. Our team developed a novel attention-based graph encoder for multi-document summarization and are now seeking collaborators to extend this method to low-resource languages. If you are interested in discussing potential joint experiments or sharing datasets, please review the attached preprint and let me know your thoughts. I look forward to possible collaboration.

Best regards,
Dr. Elena Markovic",88,82
syn-009,Collaboration Inquiry on DNS Security and Homomorphic Encryption Research,"Dear Dr. Petrova,

I recently attended your presentation on 'POPS: From History to Mitigation of DNS Cache Poisoning Attacks' at the 34th USENIX Security Symposium and was impressed by your insights, especially your collaboration with Y. Afek and A. Bremler-Barr. I also noticed your poster on leveraging ASIC AI chips for homomorphic encryption at the USENIX Security '25 Poster Session, which aligns closely with my current research interests. Would you be open to reviewing a short proposal I’ve drafted that builds on your recent work? Please let me know your thoughts, or you can access the proposal via the following link.

Best regards,
[Sender Name]",Potential Collaboration on Graph-Based Text Summarization Research,"Dear Researcher,

I am reaching out to share our recent findings presented at the 2024 International Conference on Computational Linguistics. Our paper, ""Hierarchical Graph Networks for Multi-Document Summarization,"" introduces a novel approach using attention-based graph neural networks to improve summary coherence. We are currently seeking collaborators interested in extending this method to cross-lingual datasets and exploring reinforcement learning for summary optimization. If you are working in related areas or would like to discuss potential joint experiments, please review our preprint and supplementary code at the link below. I look forward to the possibility of collaborating on this exciting research direction.

Best regards,
Dr. Elena Markovic",105,105
syn-010,Collaboration Inquiry on DNS Security and Homomorphic Encryption Research,"Dear Dr. Jun-Ho Park,

I recently attended your presentation on 'POPS: From History to Mitigation of DNS Cache Poisoning Attacks' at the 34th USENIX Security Symposium and was impressed by your insights, especially your collaboration with Y. Afek and A. Bremler-Barr. I also found your poster on leveraging ASIC AI chips for homomorphic encryption at the USENIX Security '25 Poster Session particularly relevant to my current work. I am exploring potential joint research opportunities in these areas and would appreciate your feedback on a brief proposal draft—please see the attached link. Looking forward to your thoughts and the possibility of working together.

Best regards,
[Sender Name]",Potential Collaboration on Graph-Based Text Summarization Research,"Dear Researcher,

I am reaching out to share our recent findings presented at the 2024 International Conference on Computational Linguistics (ICCL). Our paper, ""Hierarchical Graph Networks for Multi-Document Summarization,"" introduces a novel approach using attention-based graph neural networks to improve summary coherence. We are currently seeking collaborators interested in extending this method to cross-lingual datasets. If you are working in related areas or would like to discuss possible joint experiments, please review our supplementary materials at the link below. I believe your insights could be valuable for our next phase of research.

Best regards,
Dr. Elena Markovic
Department of Computer Science
University of Westbridge",106,104
