target_id,pair,model,winner,confidence
per-001,S+C-_vs_S-C+,gpt-4.1-mini,A,
per-001,S+C-_vs_S-C+,claude-sonnet-4-6,A,
per-002,S+C-_vs_S-C+,gpt-4.1-mini,A,
per-002,S+C-_vs_S-C+,claude-sonnet-4-6,A,
per-003,S+C-_vs_S-C+,gpt-4.1-mini,A,
per-003,S+C-_vs_S-C+,claude-sonnet-4-6,A,
per-004,S+C-_vs_S-C+,gpt-4.1-mini,A,
per-004,S+C-_vs_S-C+,claude-sonnet-4-6,A,
per-005,S+C-_vs_S-C+,gpt-4.1-mini,A,
per-005,S+C-_vs_S-C+,claude-sonnet-4-6,A,
per-006,S+C-_vs_S-C+,gpt-4.1-mini,A,
per-006,S+C-_vs_S-C+,claude-sonnet-4-6,A,
per-007,S+C-_vs_S-C+,gpt-4.1-mini,A,
per-007,S+C-_vs_S-C+,claude-sonnet-4-6,A,
per-008,S+C-_vs_S-C+,gpt-4.1-mini,A,
per-008,S+C-_vs_S-C+,claude-sonnet-4-6,A,
per-009,S+C-_vs_S-C+,gpt-4.1-mini,A,
per-009,S+C-_vs_S-C+,claude-sonnet-4-6,A,
per-010,S+C-_vs_S-C+,gpt-4.1-mini,A,
per-010,S+C-_vs_S-C+,claude-sonnet-4-6,A,
per-011,S+C-_vs_S-C+,gpt-4.1-mini,A,
per-011,S+C-_vs_S-C+,claude-sonnet-4-6,A,
per-012,S+C-_vs_S-C+,gpt-4.1-mini,A,
per-012,S+C-_vs_S-C+,claude-sonnet-4-6,A,
per-013,S+C-_vs_S-C+,gpt-4.1-mini,A,
per-013,S+C-_vs_S-C+,claude-sonnet-4-6,A,
per-014,S+C-_vs_S-C+,gpt-4.1-mini,A,
per-014,S+C-_vs_S-C+,claude-sonnet-4-6,A,
per-015,S+C-_vs_S-C+,gpt-4.1-mini,A,
per-015,S+C-_vs_S-C+,claude-sonnet-4-6,A,
per-016,S+C-_vs_S-C+,gpt-4.1-mini,A,
per-016,S+C-_vs_S-C+,claude-sonnet-4-6,A,
per-017,S+C-_vs_S-C+,gpt-4.1-mini,A,
per-017,S+C-_vs_S-C+,claude-sonnet-4-6,A,
per-018,S+C-_vs_S-C+,gpt-4.1-mini,A,
per-018,S+C-_vs_S-C+,claude-sonnet-4-6,A,
per-019,S+C-_vs_S-C+,gpt-4.1-mini,A,
per-019,S+C-_vs_S-C+,claude-sonnet-4-6,A,
per-020,S+C-_vs_S-C+,gpt-4.1-mini,A,
per-020,S+C-_vs_S-C+,claude-sonnet-4-6,A,
per-021,S+C-_vs_S-C+,gpt-4.1-mini,A,
per-021,S+C-_vs_S-C+,claude-sonnet-4-6,A,
per-022,S+C-_vs_S-C+,gpt-4.1-mini,A,
per-022,S+C-_vs_S-C+,claude-sonnet-4-6,A,
per-023,S+C-_vs_S-C+,gpt-4.1-mini,A,
per-023,S+C-_vs_S-C+,claude-sonnet-4-6,A,
per-024,S+C-_vs_S-C+,gpt-4.1-mini,A,
per-024,S+C-_vs_S-C+,claude-sonnet-4-6,A,
per-025,S+C-_vs_S-C+,gpt-4.1-mini,A,
per-025,S+C-_vs_S-C+,claude-sonnet-4-6,A,
per-026,S+C-_vs_S-C+,gpt-4.1-mini,A,
per-026,S+C-_vs_S-C+,claude-sonnet-4-6,A,
per-027,S+C-_vs_S-C+,gpt-4.1-mini,A,
per-027,S+C-_vs_S-C+,claude-sonnet-4-6,A,
per-028,S+C-_vs_S-C+,gpt-4.1-mini,A,
per-028,S+C-_vs_S-C+,claude-sonnet-4-6,A,
per-029,S+C-_vs_S-C+,gpt-4.1-mini,A,
per-029,S+C-_vs_S-C+,claude-sonnet-4-6,A,
per-030,S+C-_vs_S-C+,gpt-4.1-mini,A,
per-030,S+C-_vs_S-C+,claude-sonnet-4-6,A,
per-031,S+C-_vs_S-C+,gpt-4.1-mini,A,
per-031,S+C-_vs_S-C+,claude-sonnet-4-6,A,
per-032,S+C-_vs_S-C+,gpt-4.1-mini,A,
per-032,S+C-_vs_S-C+,claude-sonnet-4-6,A,
per-033,S+C-_vs_S-C+,gpt-4.1-mini,A,
