experiment,tid,condition,model,winner,confidence
hook_category,per-001,temporal,gpt-4.1-mini,A,5
hook_category,per-001,temporal,deepseek-chat,A,5
hook_category,per-001,temporal,claude-sonnet-4-6,A,4
hook_category,per-001,static,gpt-4.1-mini,A,4
hook_category,per-001,static,deepseek-chat,A,4
hook_category,per-001,static,claude-sonnet-4-6,?,0
hook_category,per-002,temporal,gpt-4.1-mini,A,4
hook_category,per-002,temporal,deepseek-chat,A,5
hook_category,per-002,temporal,claude-sonnet-4-6,A,4
hook_category,per-002,static,gpt-4.1-mini,A,4
hook_category,per-002,static,deepseek-chat,A,5
hook_category,per-002,static,claude-sonnet-4-6,A,4
hook_category,per-003,temporal,gpt-4.1-mini,A,4
hook_category,per-003,temporal,deepseek-chat,A,5
hook_category,per-003,temporal,claude-sonnet-4-6,A,4
hook_category,per-003,static,gpt-4.1-mini,A,4
hook_category,per-003,static,deepseek-chat,A,5
hook_category,per-003,static,claude-sonnet-4-6,A,5
hook_category,per-004,temporal,gpt-4.1-mini,A,4
hook_category,per-004,temporal,deepseek-chat,A,5
hook_category,per-004,temporal,claude-sonnet-4-6,A,4
hook_category,per-004,static,gpt-4.1-mini,A,4
hook_category,per-004,static,deepseek-chat,A,5
hook_category,per-004,static,claude-sonnet-4-6,A,5
hook_category,per-005,temporal,gpt-4.1-mini,A,4
hook_category,per-005,temporal,deepseek-chat,A,5
hook_category,per-005,temporal,claude-sonnet-4-6,A,5
hook_category,per-005,static,gpt-4.1-mini,A,4
hook_category,per-005,static,deepseek-chat,A,5
hook_category,per-005,static,claude-sonnet-4-6,A,4
hook_category,per-006,temporal,gpt-4.1-mini,A,4
hook_category,per-006,temporal,deepseek-chat,A,5
hook_category,per-006,temporal,claude-sonnet-4-6,A,4
hook_category,per-006,static,gpt-4.1-mini,A,4
hook_category,per-006,static,deepseek-chat,A,5
hook_category,per-006,static,claude-sonnet-4-6,A,5
hook_category,per-007,temporal,gpt-4.1-mini,A,4
hook_category,per-007,temporal,deepseek-chat,A,5
hook_category,per-007,temporal,claude-sonnet-4-6,A,4
hook_category,per-007,static,gpt-4.1-mini,A,4
hook_category,per-007,static,deepseek-chat,A,5
hook_category,per-007,static,claude-sonnet-4-6,A,4
hook_category,per-008,temporal,gpt-4.1-mini,A,4
hook_category,per-008,temporal,deepseek-chat,A,5
hook_category,per-008,temporal,claude-sonnet-4-6,A,5
hook_category,per-008,static,gpt-4.1-mini,A,4
hook_category,per-008,static,deepseek-chat,A,5
hook_category,per-008,static,claude-sonnet-4-6,A,5
hook_category,per-009,temporal,gpt-4.1-mini,A,4
hook_category,per-009,temporal,deepseek-chat,A,5
hook_category,per-009,temporal,claude-sonnet-4-6,A,5
hook_category,per-009,static,gpt-4.1-mini,A,4
hook_category,per-009,static,deepseek-chat,A,5
hook_category,per-009,static,claude-sonnet-4-6,A,5
hook_category,per-010,temporal,gpt-4.1-mini,A,4
hook_category,per-010,temporal,deepseek-chat,A,5
hook_category,per-010,temporal,claude-sonnet-4-6,A,4
hook_category,per-010,static,gpt-4.1-mini,A,4
hook_category,per-010,static,deepseek-chat,A,4
hook_category,per-010,static,claude-sonnet-4-6,A,4
hook_category,per-011,temporal,gpt-4.1-mini,A,5
hook_category,per-011,temporal,deepseek-chat,A,5
hook_category,per-011,temporal,claude-sonnet-4-6,A,5
hook_category,per-012,temporal,gpt-4.1-mini,A,5
hook_category,per-012,temporal,deepseek-chat,A,4
hook_category,per-012,temporal,claude-sonnet-4-6,A,5
hook_category,per-012,static,gpt-4.1-mini,A,4
hook_category,per-012,static,deepseek-chat,A,4
hook_category,per-012,static,claude-sonnet-4-6,A,5
hook_category,per-013,temporal,gpt-4.1-mini,A,4
hook_category,per-013,temporal,deepseek-chat,A,5
hook_category,per-013,temporal,claude-sonnet-4-6,A,4
hook_category,per-013,static,gpt-4.1-mini,A,4
hook_category,per-013,static,deepseek-chat,A,5
hook_category,per-013,static,claude-sonnet-4-6,A,4
hook_category,per-014,static,gpt-4.1-mini,A,4
hook_category,per-014,static,deepseek-chat,A,5
hook_category,per-014,static,claude-sonnet-4-6,A,4
hook_category,per-015,temporal,gpt-4.1-mini,A,4
hook_category,per-015,temporal,deepseek-chat,A,5
hook_category,per-015,temporal,claude-sonnet-4-6,A,5
hook_category,per-015,static,gpt-4.1-mini,A,4
hook_category,per-015,static,deepseek-chat,A,4
hook_category,per-015,static,claude-sonnet-4-6,A,4
hook_category,per-016,temporal,gpt-4.1-mini,A,4
hook_category,per-016,temporal,deepseek-chat,A,5
hook_category,per-016,temporal,claude-sonnet-4-6,A,5
hook_category,per-016,static,gpt-4.1-mini,A,4
hook_category,per-016,static,deepseek-chat,A,5
hook_category,per-016,static,claude-sonnet-4-6,A,5
hook_category,per-017,temporal,gpt-4.1-mini,A,4
hook_category,per-017,temporal,deepseek-chat,A,5
hook_category,per-017,temporal,claude-sonnet-4-6,A,5
hook_category,per-017,static,gpt-4.1-mini,A,4
hook_category,per-017,static,deepseek-chat,A,4
hook_category,per-017,static,claude-sonnet-4-6,A,4
hook_category,per-018,temporal,gpt-4.1-mini,A,4
hook_category,per-018,temporal,deepseek-chat,A,4
hook_category,per-018,temporal,claude-sonnet-4-6,?,0
hook_category,per-018,static,gpt-4.1-mini,A,4
hook_category,per-018,static,deepseek-chat,A,4
hook_category,per-018,static,claude-sonnet-4-6,A,5
hook_category,per-019,temporal,gpt-4.1-mini,A,4
hook_category,per-019,temporal,deepseek-chat,A,5
hook_category,per-019,temporal,claude-sonnet-4-6,A,4
hook_category,per-019,static,gpt-4.1-mini,A,4
hook_category,per-019,static,deepseek-chat,A,4
hook_category,per-019,static,claude-sonnet-4-6,A,4
hook_category,per-020,temporal,gpt-4.1-mini,A,4
hook_category,per-020,temporal,deepseek-chat,A,5
hook_category,per-020,temporal,claude-sonnet-4-6,A,5
hook_category,per-020,static,gpt-4.1-mini,A,4
hook_category,per-020,static,deepseek-chat,A,4
hook_category,per-020,static,claude-sonnet-4-6,B,4
hook_category,per-021,temporal,gpt-4.1-mini,A,4
hook_category,per-021,temporal,deepseek-chat,A,5
hook_category,per-021,temporal,claude-sonnet-4-6,A,4
hook_category,per-021,static,gpt-4.1-mini,A,4
hook_category,per-021,static,deepseek-chat,A,4
hook_category,per-021,static,claude-sonnet-4-6,A,3
hook_category,per-022,temporal,gpt-4.1-mini,A,5
hook_category,per-022,temporal,deepseek-chat,A,5
hook_category,per-022,temporal,claude-sonnet-4-6,A,5
hook_category,per-022,static,gpt-4.1-mini,A,4
hook_category,per-022,static,deepseek-chat,A,5
hook_category,per-022,static,claude-sonnet-4-6,A,4
hook_category,per-023,temporal,gpt-4.1-mini,A,4
hook_category,per-023,temporal,deepseek-chat,A,5
hook_category,per-023,temporal,claude-sonnet-4-6,A,5
hook_category,per-023,static,gpt-4.1-mini,A,4
hook_category,per-023,static,deepseek-chat,A,5
hook_category,per-023,static,claude-sonnet-4-6,A,4
hook_category,per-024,temporal,gpt-4.1-mini,A,4
hook_category,per-024,temporal,deepseek-chat,A,5
hook_category,per-024,temporal,claude-sonnet-4-6,A,4
hook_category,per-024,static,gpt-4.1-mini,B,4
hook_category,per-024,static,deepseek-chat,B,5
hook_category,per-024,static,claude-sonnet-4-6,?,0
hook_category,per-025,temporal,gpt-4.1-mini,A,4
hook_category,per-025,temporal,deepseek-chat,A,5
hook_category,per-025,temporal,claude-sonnet-4-6,A,4
hook_category,per-025,static,gpt-4.1-mini,A,4
hook_category,per-025,static,deepseek-chat,A,5
hook_category,per-025,static,claude-sonnet-4-6,A,5
hook_category,per-026,temporal,gpt-4.1-mini,A,4
hook_category,per-026,temporal,deepseek-chat,A,5
hook_category,per-026,temporal,claude-sonnet-4-6,A,4
hook_category,per-026,static,gpt-4.1-mini,A,4
hook_category,per-026,static,deepseek-chat,A,4
hook_category,per-026,static,claude-sonnet-4-6,A,5
hook_category,per-027,temporal,gpt-4.1-mini,A,4
hook_category,per-027,temporal,deepseek-chat,A,5
hook_category,per-027,temporal,claude-sonnet-4-6,A,4
hook_category,per-027,static,gpt-4.1-mini,B,4
hook_category,per-027,static,deepseek-chat,A,4
hook_category,per-027,static,claude-sonnet-4-6,?,0
hook_category,per-028,temporal,gpt-4.1-mini,A,4
hook_category,per-028,temporal,deepseek-chat,A,5
hook_category,per-028,temporal,claude-sonnet-4-6,A,4
hook_category,per-028,static,gpt-4.1-mini,A,4
hook_category,per-028,static,deepseek-chat,A,5
hook_category,per-028,static,claude-sonnet-4-6,A,4
hook_category,per-029,temporal,gpt-4.1-mini,A,5
hook_category,per-029,temporal,deepseek-chat,A,5
hook_category,per-029,temporal,claude-sonnet-4-6,A,5
hook_category,per-029,static,gpt-4.1-mini,A,5
hook_category,per-029,static,deepseek-chat,A,5
hook_category,per-029,static,claude-sonnet-4-6,A,5
hook_category,per-030,temporal,gpt-4.1-mini,A,4
hook_category,per-030,temporal,deepseek-chat,A,5
hook_category,per-030,temporal,claude-sonnet-4-6,A,4
hook_category,per-030,static,gpt-4.1-mini,A,4
hook_category,per-030,static,deepseek-chat,A,5
hook_category,per-030,static,claude-sonnet-4-6,A,4
