target_id,content_type,S+_body,S-_body
rev-001,truthful (C+),"Stayed for 2 nights at The James, wonderful location 2 mins walk to Michigan Avenue with all the shops. Staff here were all incredibly helpful and genuinely friendly. Nothing was too much trouble. Rooms are huge and the beds the most comfortable I have slept in. Room was very clean, had separate seating area with sofa and chairs with a 42in flat screen tv. There was a bar area with stereo, mini bar and coffee maker. There was another flat screen tv in the bedroom area. Bathroom very good with complimentary shampoo, conditioner, shower gel and body lotion. Hotel is also ""pet friendly"". There was even a large bowl of iced water and","Stayed 2 nights at The James, just 2 mins from Michigan Avenue. Staff were incredibly helpful and friendly. Rooms are huge with separate seating, two flat screen TVs, and the most comfortable beds I've slept in. Very clean with a well-equipped bar area."
rev-002,truthful (C+),"We loved the hotel. When I see other posts about it being shabby I can't for the life of me figure out what they are talking about. Rooms were large with TWO bathrooms, lobby was fabulous, pool was large with two hot tubs and huge gym, staff was courteous. For us, the location was great--across the street from Grant Park with a great view of Buckingham Fountain and close to all the museums and theatres. I'm sure others would rather be north of the river closer to the Magnificent Mile but we enjoyed the quieter and more scenic location. Got it for $105 on Hotwire. What a bargain for such a nice hotel.","We loved the hotel with large rooms featuring two bathrooms, a fabulous lobby, a large pool with two hot tubs, and a huge gym. The courteous staff and great location across from Grant Park with views of Buckingham Fountain made our stay perfect."
rev-003,truthful (C+),A friend highly recommended this hotel and we couldn't have been happier! It was wonderful ~ my husband and kids were already planning our next trip there before we had even left the hotel. The kids loved the goldfish in the room and thought the window seats were the best.,"Highly recommended hotel where my husband and kids loved the goldfish in the room and the window seats. We were so happy, the kids were already planning our next trip before we left."
rev-004,deceptive (C-),"This hotel is great! I love its interior design of the room. Customer service is excellent! And its gym and spa are gorgeous. If you need to go to Chicago, this hotel would be your best choice! You can also check its website for the special offer, I found a great deal on it!","This hotel is great with excellent customer service and beautifully designed rooms. The gym and spa are gorgeous. For a Chicago visit, it's the best choice. Check their website for special offers—I found a great deal!"
rev-005,deceptive (C-),"We booked a room at the Hilton Chicago for two nights to stay the weekend, but upon arrival our reservation could not be found. I even provided the hotel with our confirmation number, but it still wasn't available! Fortunately, another reservation had not shown up so there was space available for us. Once we settled into our room for the night (after a long flight), there was a bad odor coming from the bathroom. Apparently the cleaning solution they used was tainted and they had to re-clean it after our arrival. Needless to say, with both of these poor experiences in just one night, I will be hesitant to EVER stay in this hotel again, let alone any other Hilton around. Please consider someplace else before the Hilton Chicago!","Our Hilton Chicago reservation was missing despite confirmation, but luckily a room was available. However, the bathroom had a bad odor from tainted cleaning solution, requiring re-cleaning after our long flight."
rev-006,truthful (C+),"My family and I have just had a two week holiday in Chicago, and we stayed for a week at the Hilton Towers. We had a fantastic time and enjoyed every minute of our stay at this incredible hotel. The sheer size of the place is breathtaking and the atmosphere is very friendly and hospitable. If you prefer discreet modern boutiquey-type hotels, maybe this wouldn't be your thing. However if you enjoy old style glamour and glitz, you will be bowled over by this hotel. The place literally sparkles thanks to the enormous chandeliers that are everywhere in the lobby. Tons of celebs have stayed here over the decades and the history of the hotel and past guests etc is","We stayed a week at Hilton Towers in Chicago and had a fantastic time. The hotel's breathtaking size and friendly atmosphere offer old-style glamour and glitz, perfect for those who appreciate classic luxury over modern boutique styles."
rev-007,deceptive (C-),"This is a beautiful hotel with a great view of the Chicago River and a short walk to all the best places to visit in the city! I had an unbelievably pleasant and relaxing stay with an in-room massage and fantastic room service. If you're looking for a vacation in Chicago and want to experience the best the city has to offer as well as live in luxury and comfort, I highly recommend this hotel and I would definitely come again!",This beautiful hotel offers stunning Chicago River views and is within walking distance to top attractions. I enjoyed a relaxing stay with an in-room massage and excellent room service. Highly recommended for a luxurious Chicago vacation.
rev-008,truthful (C+),"Having had a great stay at the Monaco last Fall with friends, I was disappointed (initially) to arrive on Saturday with husband and find that they didn't have our Quikbook made reservation in their system and they had no rooms available for Sat. eve. BUT they immediately took responsibility for their mistake by doing the following: found us a nice room at the neighboring Swissotel and paid for it! Gave us cab fare to get the 4 blocks over there. Paid for our valet parking $33 that eve. So naturally when they asked if we were interested in returning for Sunday eve (when they did have room), we said yes. When we returned, they gave us a corner suite with jacuzzi tub for our $139 quikbook rate! Now that's what I call a recovery!!","Despite a reservation mix-up at the Monaco, the staff promptly resolved it by booking us a room at the nearby Swissotel, covering cab fare and valet parking. Their quick responsibility and compensation made our stay positive despite the initial issue."
rev-009,truthful (C+),"On a recent trip to Chicago to attend a major trade show I had the pleasure of staying with the Sofitel Chicago Water Tower. I say stay with as that is how they make you feel, from check in to check out they go above and beyond to ensure your stay is perfect and you want to return. The rooms are clean, chic and roomy, the beds - the best I have slept in, bathrooms large and super clean. What can I say, my new home when in Chicago...","During my Chicago trip, Sofitel Chicago Water Tower impressed with exceptional service and spacious, chic rooms. The beds were the best I've ever slept in, and the bathrooms were large and spotless. Truly my new home in Chicago."
rev-010,deceptive (C-),"I stayed two nights at the Hilton Chicago. That was the last time I will be staying there. When I arrived, I could not believe that the hotel did not offer free parking. They wanted at least $10. What am I paying for when I stay there for the night? The website also touted the clean linens. The room was clean and I believe the linens were clean. The problem was with all of the down pillows etc. Don't they know that people have allergies? I also later found out that this hotel allows pets. I think that this was another part of my symptoms. If you like a clean hotel without having allergy attacks I suggest you opt for somewhere else to stay. I","I stayed two nights at the Hilton Chicago and won't return. The hotel charges at least $10 for parking, which is disappointing. While the room and linens were clean, the down pillows triggered my allergies, and the hotel allows pets, which was unexpected."
rev-011,truthful (C+),"Just got back from a 10 day visit to Chicago. For the rate of $219 per night, it was extremely good value. Reception staff were efficient, courteous and very friendly. I was given a room on the top floor (32nd floor) facing the lake and the John Hancock Tower. The rooms were large and very comfortable. Housekeeping/Turn Down Service were efficient and thorough. Bathroom amenities were very good and replaced daily. This is definitely my first choice for a Hotel in Chicago. It is also very close to all the shops, restaurants and the subway.","Stayed 10 days in Chicago for $219/night, excellent value. Reception was friendly and efficient. Room on 32nd floor faced the lake and John Hancock Tower, large and comfortable. Housekeeping was thorough with daily bathroom amenity replacements. My top Chicago hotel choice."
rev-012,deceptive (C-),"I stayed at the monaco for the Labor day weekend when I visited my family in Chicago. It is one of the nicest hotels i have stayed at in my life. clean, comfortable and pretty. The rooms were clean and the staff is very caring. I needed some more glasses as my family was sharing drink. The front desk had them sent up in less than 10 minutes. I will recommend Monaco to anyone who will be staying in the Chicago area.","I stayed at the Monaco for Labor Day weekend and found it one of the nicest hotels I've experienced. The rooms were clean, and the caring staff quickly delivered extra glasses within 10 minutes. I highly recommend Monaco for anyone visiting Chicago."
