target_id,pair,var_a,var_b,model,winner,confidence,reasoning,swapped,persona_index
per-001,S-C+_vs_S-C-,S-C+,S-C-,gemini-2.5-flash,A,,,False,Dr. Jack O'Brien
per-001,S+C-_vs_S-C-,S+C-,S-C-,gemini-2.5-flash,A,,,False,Dr. Jack O'Brien
per-002,S-C+_vs_S-C-,S-C+,S-C-,gemini-2.5-flash,A,,,False,Dr. Heather Campbell
per-002,S+C-_vs_S-C-,S+C-,S-C-,gemini-2.5-flash,A,,,False,Dr. Heather Campbell
per-003,S-C+_vs_S-C-,S-C+,S-C-,gemini-2.5-flash,A,,,False,Dr. Kenji Takahashi
per-003,S+C-_vs_S-C-,S+C-,S-C-,gemini-2.5-flash,A,,,False,Dr. Kenji Takahashi
per-004,S-C+_vs_S-C-,S-C+,S-C-,gemini-2.5-flash,A,,,False,Dr. Anya Petrova
per-004,S+C-_vs_S-C-,S+C-,S-C-,gemini-2.5-flash,A,,,False,Dr. Anya Petrova
per-005,S-C+_vs_S-C-,S-C+,S-C-,gemini-2.5-flash,A,,,False,Dr. Raj Kumar
per-005,S+C-_vs_S-C-,S+C-,S-C-,gemini-2.5-flash,A,,,False,Dr. Raj Kumar
per-006,S-C+_vs_S-C-,S-C+,S-C-,gemini-2.5-flash,A,,,False,Dr. Jun Wei Lim
per-006,S+C-_vs_S-C-,S+C-,S-C-,gemini-2.5-flash,A,,,False,Dr. Jun Wei Lim
per-007,S-C+_vs_S-C-,S-C+,S-C-,gemini-2.5-flash,A,,,False,Dr. Emma van den Berg
per-007,S+C-_vs_S-C-,S+C-,S-C-,gemini-2.5-flash,A,,,False,Dr. Emma van den Berg
per-008,S-C+_vs_S-C-,S-C+,S-C-,gemini-2.5-flash,A,,,False,Dr. Oluwaseun Adeyemi
per-008,S+C-_vs_S-C-,S+C-,S-C-,gemini-2.5-flash,A,,,False,Dr. Oluwaseun Adeyemi
per-009,S-C+_vs_S-C-,S-C+,S-C-,gemini-2.5-flash,A,,,False,Dr. Zahra Mohammadi
per-009,S+C-_vs_S-C-,S+C-,S-C-,gemini-2.5-flash,A,,,False,Dr. Zahra Mohammadi
per-010,S-C+_vs_S-C-,S-C+,S-C-,gemini-2.5-flash,A,,,False,Dr. Nicolas Leroy
per-010,S+C-_vs_S-C-,S+C-,S-C-,gemini-2.5-flash,A,,,False,Dr. Nicolas Leroy
per-011,S-C+_vs_S-C-,S-C+,S-C-,gemini-2.5-flash,A,,,False,Dr. Do-Yun Choi
per-011,S+C-_vs_S-C-,S+C-,S-C-,gemini-2.5-flash,A,,,False,Dr. Do-Yun Choi
per-012,S-C+_vs_S-C-,S-C+,S-C-,gemini-2.5-flash,A,,,False,Dr. Charlotte Graves
per-012,S+C-_vs_S-C-,S+C-,S-C-,gemini-2.5-flash,A,,,False,Dr. Charlotte Graves
per-013,S-C+_vs_S-C-,S-C+,S-C-,gemini-2.5-flash,A,,,False,Dr. Thomas Peeters
per-013,S+C-_vs_S-C-,S+C-,S-C-,gemini-2.5-flash,A,,,False,Dr. Thomas Peeters
per-014,S-C+_vs_S-C-,S-C+,S-C-,gemini-2.5-flash,A,,,False,Dr. Anna Schmidt
per-014,S+C-_vs_S-C-,S+C-,S-C-,gemini-2.5-flash,A,,,False,Dr. Anna Schmidt
per-015,S-C+_vs_S-C-,S-C+,S-C-,gemini-2.5-flash,A,,,False,Dr. Maya Barak
per-015,S+C-_vs_S-C-,S+C-,S-C-,gemini-2.5-flash,A,,,False,Dr. Maya Barak
per-016,S-C+_vs_S-C-,S-C+,S-C-,gemini-2.5-flash,A,,,False,Dr. Mariana Costa
per-016,S+C-_vs_S-C-,S+C-,S-C-,gemini-2.5-flash,A,,,False,Dr. Mariana Costa
per-017,S-C+_vs_S-C-,S-C+,S-C-,gemini-2.5-flash,A,,,False,Dr. Fatima Al Mazrouei
per-017,S+C-_vs_S-C-,S+C-,S-C-,gemini-2.5-flash,A,,,False,Dr. Fatima Al Mazrouei
per-018,S-C+_vs_S-C-,S-C+,S-C-,gemini-2.5-flash,A,,,False,Dr. Michael Chen
per-018,S+C-_vs_S-C-,S+C-,S-C-,gemini-2.5-flash,A,,,False,Dr. Michael Chen
per-019,S-C+_vs_S-C-,S-C+,S-C-,gemini-2.5-flash,A,,,False,Dr. Ingrid Bergstrom
per-019,S+C-_vs_S-C-,S+C-,S-C-,gemini-2.5-flash,A,,,False,Dr. Ingrid Bergstrom
per-020,S-C+_vs_S-C-,S-C+,S-C-,gemini-2.5-flash,A,,,False,Dr. Ethan Brown
per-020,S+C-_vs_S-C-,S+C-,S-C-,gemini-2.5-flash,A,,,False,Dr. Ethan Brown
per-021,S-C+_vs_S-C-,S-C+,S-C-,gemini-2.5-flash,A,,,False,Dr. Ryan MacDonald
per-021,S+C-_vs_S-C-,S+C-,S-C-,gemini-2.5-flash,A,,,False,Dr. Ryan MacDonald
per-022,S-C+_vs_S-C-,S-C+,S-C-,gemini-2.5-flash,A,,,False,Dr. Sakura Yamamoto
per-022,S+C-_vs_S-C-,S+C-,S-C-,gemini-2.5-flash,A,,,False,Dr. Sakura Yamamoto
per-023,S-C+_vs_S-C-,S-C+,S-C-,gemini-2.5-flash,A,,,False,Dr. Martin Lepik
per-023,S+C-_vs_S-C-,S+C-,S-C-,gemini-2.5-flash,A,,,False,Dr. Martin Lepik
per-024,S-C+_vs_S-C-,S-C+,S-C-,gemini-2.5-flash,A,,,False,Dr. Deepa Reddy
per-024,S+C-_vs_S-C-,S+C-,S-C-,gemini-2.5-flash,A,,,False,Dr. Deepa Reddy
per-025,S-C+_vs_S-C-,S-C+,S-C-,gemini-2.5-flash,A,,,False,Dr. Wei Jie Ng
per-025,S+C-_vs_S-C-,S+C-,S-C-,gemini-2.5-flash,A,,,False,Dr. Wei Jie Ng
per-026,S-C+_vs_S-C-,S-C+,S-C-,gemini-2.5-flash,A,,,False,Dr. Daan de Vries
per-026,S+C-_vs_S-C-,S+C-,S-C-,gemini-2.5-flash,A,,,False,Dr. Daan de Vries
per-027,S-C+_vs_S-C-,S-C+,S-C-,gemini-2.5-flash,A,,,False,Dr. Ngozi Adebayo
per-027,S+C-_vs_S-C-,S+C-,S-C-,gemini-2.5-flash,A,,,False,Dr. Ngozi Adebayo
per-028,S-C+_vs_S-C-,S-C+,S-C-,gemini-2.5-flash,A,,,False,Dr. Amir Hashemi
per-028,S+C-_vs_S-C-,S+C-,S-C-,gemini-2.5-flash,A,,,False,Dr. Amir Hashemi
