experiment,tid,condition,model,winner,confidence
profiler_ablation,per-001,top,gpt-4.1-mini,A,4
profiler_ablation,per-001,top,deepseek-chat,A,5
profiler_ablation,per-001,top,claude-sonnet-4-6,A,4
profiler_ablation,per-001,random,gpt-4.1-mini,A,4
profiler_ablation,per-001,random,deepseek-chat,A,5
profiler_ablation,per-001,random,claude-sonnet-4-6,A,4
profiler_ablation,per-001,bottom,gpt-4.1-mini,A,4
profiler_ablation,per-001,bottom,deepseek-chat,A,4
profiler_ablation,per-001,bottom,claude-sonnet-4-6,A,4
profiler_ablation,per-002,top,gpt-4.1-mini,A,5
profiler_ablation,per-002,top,deepseek-chat,A,5
profiler_ablation,per-002,top,claude-sonnet-4-6,A,5
profiler_ablation,per-002,random,gpt-4.1-mini,A,4
profiler_ablation,per-002,random,deepseek-chat,A,5
profiler_ablation,per-002,random,claude-sonnet-4-6,A,4
profiler_ablation,per-002,bottom,gpt-4.1-mini,A,4
profiler_ablation,per-002,bottom,deepseek-chat,A,4
profiler_ablation,per-002,bottom,claude-sonnet-4-6,?,0
profiler_ablation,per-003,top,gpt-4.1-mini,A,4
profiler_ablation,per-003,top,deepseek-chat,A,5
profiler_ablation,per-003,top,claude-sonnet-4-6,A,4
profiler_ablation,per-003,random,gpt-4.1-mini,B,4
profiler_ablation,per-003,random,deepseek-chat,A,4
profiler_ablation,per-003,random,claude-sonnet-4-6,A,4
profiler_ablation,per-003,bottom,gpt-4.1-mini,A,4
profiler_ablation,per-003,bottom,deepseek-chat,A,5
profiler_ablation,per-003,bottom,claude-sonnet-4-6,A,5
profiler_ablation,per-004,top,gpt-4.1-mini,A,4
profiler_ablation,per-004,top,deepseek-chat,A,5
profiler_ablation,per-004,top,claude-sonnet-4-6,A,5
profiler_ablation,per-004,random,gpt-4.1-mini,A,5
profiler_ablation,per-004,random,deepseek-chat,A,5
profiler_ablation,per-004,random,claude-sonnet-4-6,?,0
profiler_ablation,per-004,bottom,gpt-4.1-mini,A,4
profiler_ablation,per-004,bottom,deepseek-chat,A,5
profiler_ablation,per-004,bottom,claude-sonnet-4-6,A,5
profiler_ablation,per-005,top,gpt-4.1-mini,A,5
profiler_ablation,per-005,top,deepseek-chat,A,5
profiler_ablation,per-005,top,claude-sonnet-4-6,?,0
profiler_ablation,per-005,random,gpt-4.1-mini,A,4
profiler_ablation,per-005,random,deepseek-chat,A,5
profiler_ablation,per-005,random,claude-sonnet-4-6,A,4
profiler_ablation,per-005,bottom,gpt-4.1-mini,A,4
profiler_ablation,per-005,bottom,deepseek-chat,A,5
profiler_ablation,per-005,bottom,claude-sonnet-4-6,A,4
profiler_ablation,per-006,top,gpt-4.1-mini,A,5
profiler_ablation,per-006,top,deepseek-chat,A,5
profiler_ablation,per-006,top,claude-sonnet-4-6,A,5
profiler_ablation,per-006,bottom,gpt-4.1-mini,A,4
profiler_ablation,per-006,bottom,deepseek-chat,A,4
profiler_ablation,per-006,bottom,claude-sonnet-4-6,?,0
profiler_ablation,per-007,top,gpt-4.1-mini,A,4
profiler_ablation,per-007,top,deepseek-chat,A,5
profiler_ablation,per-007,top,claude-sonnet-4-6,A,5
profiler_ablation,per-007,random,gpt-4.1-mini,A,4
profiler_ablation,per-007,random,deepseek-chat,A,5
profiler_ablation,per-007,random,claude-sonnet-4-6,A,4
profiler_ablation,per-007,bottom,gpt-4.1-mini,A,4
profiler_ablation,per-007,bottom,deepseek-chat,A,4
profiler_ablation,per-007,bottom,claude-sonnet-4-6,A,4
profiler_ablation,per-008,top,gpt-4.1-mini,A,4
profiler_ablation,per-008,top,deepseek-chat,A,5
profiler_ablation,per-008,top,claude-sonnet-4-6,A,5
profiler_ablation,per-008,random,gpt-4.1-mini,A,4
profiler_ablation,per-008,random,deepseek-chat,A,5
profiler_ablation,per-008,random,claude-sonnet-4-6,A,4
profiler_ablation,per-008,bottom,gpt-4.1-mini,A,4
profiler_ablation,per-008,bottom,deepseek-chat,A,5
profiler_ablation,per-008,bottom,claude-sonnet-4-6,A,4
profiler_ablation,per-009,top,gpt-4.1-mini,A,4
profiler_ablation,per-009,top,deepseek-chat,A,5
profiler_ablation,per-009,top,claude-sonnet-4-6,A,4
profiler_ablation,per-009,random,gpt-4.1-mini,A,4
profiler_ablation,per-009,random,deepseek-chat,A,5
profiler_ablation,per-009,random,claude-sonnet-4-6,A,4
profiler_ablation,per-009,bottom,gpt-4.1-mini,A,4
profiler_ablation,per-009,bottom,deepseek-chat,A,5
profiler_ablation,per-009,bottom,claude-sonnet-4-6,A,5
profiler_ablation,per-010,top,gpt-4.1-mini,A,4
profiler_ablation,per-010,top,deepseek-chat,A,5
profiler_ablation,per-010,top,claude-sonnet-4-6,A,5
profiler_ablation,per-010,random,gpt-4.1-mini,A,4
profiler_ablation,per-010,random,deepseek-chat,A,4
profiler_ablation,per-010,random,claude-sonnet-4-6,A,4
profiler_ablation,per-010,bottom,gpt-4.1-mini,A,4
profiler_ablation,per-010,bottom,deepseek-chat,A,4
profiler_ablation,per-010,bottom,claude-sonnet-4-6,B,4
profiler_ablation,per-011,top,gpt-4.1-mini,A,4
profiler_ablation,per-011,top,deepseek-chat,A,5
profiler_ablation,per-011,top,claude-sonnet-4-6,A,4
profiler_ablation,per-011,random,gpt-4.1-mini,A,4
profiler_ablation,per-011,random,deepseek-chat,A,5
profiler_ablation,per-011,random,claude-sonnet-4-6,A,4
profiler_ablation,per-011,bottom,gpt-4.1-mini,A,4
profiler_ablation,per-011,bottom,deepseek-chat,A,5
profiler_ablation,per-011,bottom,claude-sonnet-4-6,A,5
profiler_ablation,per-012,random,gpt-4.1-mini,A,4
profiler_ablation,per-012,random,deepseek-chat,A,5
profiler_ablation,per-012,random,claude-sonnet-4-6,A,4
profiler_ablation,per-012,bottom,gpt-4.1-mini,B,4
profiler_ablation,per-012,bottom,deepseek-chat,A,4
profiler_ablation,per-012,bottom,claude-sonnet-4-6,?,0
profiler_ablation,per-013,top,gpt-4.1-mini,A,4
profiler_ablation,per-013,top,deepseek-chat,A,5
profiler_ablation,per-013,top,claude-sonnet-4-6,A,4
profiler_ablation,per-013,random,gpt-4.1-mini,A,4
profiler_ablation,per-013,random,deepseek-chat,A,5
profiler_ablation,per-013,random,claude-sonnet-4-6,A,4
profiler_ablation,per-013,bottom,gpt-4.1-mini,A,4
profiler_ablation,per-013,bottom,deepseek-chat,A,5
profiler_ablation,per-013,bottom,claude-sonnet-4-6,A,4
profiler_ablation,per-014,top,gpt-4.1-mini,A,5
profiler_ablation,per-014,top,deepseek-chat,A,5
profiler_ablation,per-014,top,claude-sonnet-4-6,A,5
profiler_ablation,per-014,random,gpt-4.1-mini,A,4
profiler_ablation,per-014,random,deepseek-chat,A,5
profiler_ablation,per-014,random,claude-sonnet-4-6,A,4
profiler_ablation,per-014,bottom,gpt-4.1-mini,A,4
profiler_ablation,per-014,bottom,deepseek-chat,A,5
profiler_ablation,per-014,bottom,claude-sonnet-4-6,A,5
profiler_ablation,per-015,top,gpt-4.1-mini,A,5
profiler_ablation,per-015,top,deepseek-chat,A,5
profiler_ablation,per-015,top,claude-sonnet-4-6,A,4
profiler_ablation,per-015,random,gpt-4.1-mini,A,4
profiler_ablation,per-015,random,deepseek-chat,A,4
profiler_ablation,per-015,random,claude-sonnet-4-6,A,4
profiler_ablation,per-015,bottom,gpt-4.1-mini,A,4
profiler_ablation,per-015,bottom,deepseek-chat,A,5
profiler_ablation,per-015,bottom,claude-sonnet-4-6,A,4
profiler_ablation,per-016,top,gpt-4.1-mini,A,5
profiler_ablation,per-016,top,deepseek-chat,A,5
profiler_ablation,per-016,top,claude-sonnet-4-6,A,5
profiler_ablation,per-016,random,gpt-4.1-mini,A,4
profiler_ablation,per-016,random,deepseek-chat,A,5
profiler_ablation,per-016,random,claude-sonnet-4-6,A,4
profiler_ablation,per-016,bottom,gpt-4.1-mini,A,4
profiler_ablation,per-016,bottom,deepseek-chat,A,5
profiler_ablation,per-016,bottom,claude-sonnet-4-6,A,5
profiler_ablation,per-017,top,gpt-4.1-mini,A,5
profiler_ablation,per-017,top,deepseek-chat,A,5
profiler_ablation,per-017,top,claude-sonnet-4-6,A,5
profiler_ablation,per-017,random,gpt-4.1-mini,A,5
profiler_ablation,per-017,random,deepseek-chat,A,5
profiler_ablation,per-017,random,claude-sonnet-4-6,A,4
profiler_ablation,per-017,bottom,gpt-4.1-mini,A,4
profiler_ablation,per-017,bottom,deepseek-chat,A,4
profiler_ablation,per-017,bottom,claude-sonnet-4-6,A,4
profiler_ablation,per-018,top,gpt-4.1-mini,A,4
profiler_ablation,per-018,top,deepseek-chat,A,5
profiler_ablation,per-018,top,claude-sonnet-4-6,A,4
profiler_ablation,per-018,random,gpt-4.1-mini,A,4
profiler_ablation,per-018,random,deepseek-chat,A,5
profiler_ablation,per-018,random,claude-sonnet-4-6,A,4
profiler_ablation,per-018,bottom,gpt-4.1-mini,A,4
profiler_ablation,per-018,bottom,deepseek-chat,A,5
profiler_ablation,per-018,bottom,claude-sonnet-4-6,A,5
profiler_ablation,per-019,top,gpt-4.1-mini,A,4
profiler_ablation,per-019,top,deepseek-chat,A,5
profiler_ablation,per-019,top,claude-sonnet-4-6,A,4
profiler_ablation,per-019,random,gpt-4.1-mini,A,4
