target_id,ratio,model,winner,long_wc,short_wc
per-002,1.0,gpt-4.1-mini,B,54,57
per-002,1.0,deepseek-chat,B,54,57
per-002,1.0,claude-sonnet-4-6,B,54,57
per-002,1.25,gpt-4.1-mini,B,64,57
per-002,1.25,deepseek-chat,B,64,57
per-002,1.25,claude-sonnet-4-6,B,64,57
per-002,1.5,gpt-4.1-mini,B,89,57
per-002,1.5,deepseek-chat,B,89,57
per-002,1.5,claude-sonnet-4-6,B,89,57
per-002,2.0,gpt-4.1-mini,B,115,57
per-002,2.0,deepseek-chat,B,115,57
per-002,2.0,claude-sonnet-4-6,B,115,57
per-002,2.5,gpt-4.1-mini,A,130,57
per-002,2.5,deepseek-chat,A,130,57
per-002,2.5,claude-sonnet-4-6,B,130,57
per-002,3.0,gpt-4.1-mini,A,175,57
per-002,3.0,deepseek-chat,B,175,57
per-002,3.0,claude-sonnet-4-6,B,175,57
per-003,1.0,gpt-4.1-mini,B,49,52
per-003,1.0,deepseek-chat,B,49,52
per-003,1.0,claude-sonnet-4-6,B,49,52
per-003,1.25,gpt-4.1-mini,B,65,52
per-003,1.25,deepseek-chat,B,65,52
per-003,1.25,claude-sonnet-4-6,B,65,52
per-003,1.5,gpt-4.1-mini,B,71,52
per-003,1.5,deepseek-chat,B,71,52
per-003,1.5,claude-sonnet-4-6,B,71,52
per-003,2.0,gpt-4.1-mini,B,111,52
per-003,2.0,deepseek-chat,B,111,52
per-003,2.0,claude-sonnet-4-6,B,111,52
per-003,2.5,gpt-4.1-mini,B,126,52
per-003,2.5,deepseek-chat,B,126,52
per-003,2.5,claude-sonnet-4-6,B,126,52
per-003,3.0,gpt-4.1-mini,A,150,52
per-003,3.0,deepseek-chat,B,150,52
per-003,3.0,claude-sonnet-4-6,B,150,52
per-006,1.0,gpt-4.1-mini,B,56,60
per-006,1.0,deepseek-chat,B,56,60
per-006,1.0,claude-sonnet-4-6,B,56,60
per-006,1.25,gpt-4.1-mini,B,82,60
per-006,1.25,deepseek-chat,B,82,60
per-006,1.25,claude-sonnet-4-6,B,82,60
per-006,1.5,gpt-4.1-mini,B,92,60
per-006,1.5,deepseek-chat,B,92,60
per-006,1.5,claude-sonnet-4-6,B,92,60
per-006,2.0,gpt-4.1-mini,B,126,60
per-006,2.0,deepseek-chat,B,126,60
per-006,2.0,claude-sonnet-4-6,B,126,60
per-006,2.5,gpt-4.1-mini,A,159,60
per-006,2.5,deepseek-chat,B,159,60
per-006,2.5,claude-sonnet-4-6,B,159,60
per-006,3.0,gpt-4.1-mini,A,179,60
per-006,3.0,deepseek-chat,B,179,60
per-006,3.0,claude-sonnet-4-6,B,179,60
per-007,1.0,gpt-4.1-mini,B,51,56
per-007,1.0,deepseek-chat,B,51,56
per-007,1.0,claude-sonnet-4-6,B,51,56
per-007,1.25,gpt-4.1-mini,B,66,56
per-007,1.25,deepseek-chat,B,66,56
per-007,1.25,claude-sonnet-4-6,B,66,56
per-007,1.5,gpt-4.1-mini,B,87,56
per-007,1.5,deepseek-chat,B,87,56
per-007,1.5,claude-sonnet-4-6,B,87,56
per-007,2.0,gpt-4.1-mini,B,121,56
per-007,2.0,deepseek-chat,B,121,56
per-007,2.0,claude-sonnet-4-6,B,121,56
per-007,2.5,gpt-4.1-mini,A,143,56
per-007,2.5,deepseek-chat,A,143,56
per-007,2.5,claude-sonnet-4-6,B,143,56
per-007,3.0,gpt-4.1-mini,A,173,56
per-007,3.0,deepseek-chat,A,173,56
per-007,3.0,claude-sonnet-4-6,B,173,56
per-008,1.0,gpt-4.1-mini,B,50,55
per-008,1.0,deepseek-chat,B,50,55
per-008,1.0,claude-sonnet-4-6,B,50,55
per-008,1.25,gpt-4.1-mini,B,72,55
per-008,1.25,deepseek-chat,B,72,55
per-008,1.25,claude-sonnet-4-6,B,72,55
per-008,1.5,gpt-4.1-mini,B,84,55
per-008,1.5,deepseek-chat,B,84,55
per-008,1.5,claude-sonnet-4-6,B,84,55
per-008,2.0,gpt-4.1-mini,A,110,55
per-008,2.0,deepseek-chat,B,110,55
per-008,2.0,claude-sonnet-4-6,B,110,55
per-008,2.5,gpt-4.1-mini,B,148,55
per-008,2.5,deepseek-chat,B,148,55
per-008,2.5,claude-sonnet-4-6,B,148,55
per-008,3.0,gpt-4.1-mini,A,170,55
per-008,3.0,deepseek-chat,A,170,55
per-008,3.0,claude-sonnet-4-6,B,170,55
per-009,1.0,gpt-4.1-mini,B,59,64
per-009,1.0,deepseek-chat,B,59,64
per-009,1.0,claude-sonnet-4-6,B,59,64
per-009,1.25,gpt-4.1-mini,B,85,64
per-009,1.25,deepseek-chat,B,85,64
per-009,1.25,claude-sonnet-4-6,B,85,64
per-009,1.5,gpt-4.1-mini,B,94,64
per-009,1.5,deepseek-chat,B,94,64
per-009,1.5,claude-sonnet-4-6,B,94,64
per-009,2.0,gpt-4.1-mini,B,126,64
per-009,2.0,deepseek-chat,B,126,64
per-009,2.0,claude-sonnet-4-6,B,126,64
per-009,2.5,gpt-4.1-mini,B,175,64
per-009,2.5,deepseek-chat,B,175,64
per-009,2.5,claude-sonnet-4-6,B,175,64
per-009,3.0,gpt-4.1-mini,A,210,64
per-009,3.0,deepseek-chat,B,210,64
per-009,3.0,claude-sonnet-4-6,B,210,64
per-015,1.0,gpt-4.1-mini,B,51,56
per-015,1.0,deepseek-chat,B,51,56
per-015,1.0,claude-sonnet-4-6,B,51,56
per-015,1.25,gpt-4.1-mini,B,63,56
per-015,1.25,deepseek-chat,B,63,56
per-015,1.25,claude-sonnet-4-6,B,63,56
per-015,1.5,gpt-4.1-mini,B,87,56
per-015,1.5,deepseek-chat,B,87,56
per-015,1.5,claude-sonnet-4-6,B,87,56
per-015,2.0,gpt-4.1-mini,B,116,56
per-015,2.0,deepseek-chat,B,116,56
