tid,model,winner,confidence
biu-001,gpt-4.1-mini,A,4
biu-001,deepseek-chat,A,4
biu-001,claude-sonnet-4-6,B,4
huji-001,gpt-4.1-mini,A,4
huji-001,deepseek-chat,A,4
huji-001,claude-sonnet-4-6,A,4
tau-001,gpt-4.1-mini,A,4
tau-001,deepseek-chat,A,4
tau-001,claude-sonnet-4-6,A,4
technion-001,gpt-4.1-mini,A,4
technion-001,deepseek-chat,A,4
technion-001,claude-sonnet-4-6,B,4
stanford-001,gpt-4.1-mini,A,4
stanford-001,deepseek-chat,A,4
stanford-001,claude-sonnet-4-6,A,4
berkeley-001,gpt-4.1-mini,A,4
berkeley-001,deepseek-chat,A,4
berkeley-001,claude-sonnet-4-6,A,4
cmu-001,gpt-4.1-mini,A,4
cmu-001,deepseek-chat,A,4
cmu-001,claude-sonnet-4-6,B,4
edinburgh-001,gpt-4.1-mini,A,4
edinburgh-001,deepseek-chat,A,4
edinburgh-001,claude-sonnet-4-6,A,4
