target_id,S+C+,S+C-,S-C+,S-C-
rev-001,"brian depalma needs a hit * really * badly . since scoring big with the untouchables in 1987 , depalma has seen casualties of war , raising cain and particularly the disastrous bonfire of the vanities go down in flames . consequently , it would be easy enough to consider carlito's way a shrewd commercial choice for depalma , reteaming with al pacino ( scarface ) and returning to the gangland ground which has yielded his two greatest box office successes . it doesn't hurt any that he has latched on to a solid story and brought out dynamite performances from pacino and sean penn . carlito's way , while hampered by depalma's characteristic excesses and stylistic cannibalism , is a truly tense and engrossing drama . carlito brigante ( pacino ) is a life-long criminal who finds himself unexpectedly given a second chance . in 1975 , carlito is released from prison after serving only five years of a thirty year sentence","This film is an absolute masterpiece that truly redefines the genre. From start to finish, it captivates the audience with its stunning visuals and compelling storytelling. The director's vision shines through every frame, creating an immersive experience that resonates on multiple levels. The performances are nothing short of exceptional, bringing depth and nuance to the narrative. The pacing is perfectly balanced, keeping viewers engaged without ever feeling rushed. The soundtrack complements the mood beautifully, enhancing the emotional impact of key scenes. Overall, this movie is a triumph of cinematic artistry, offering something for everyone. It's a must-watch that will undoubtedly leave a lasting impression and spark meaningful conversations long after the credits roll.","Brian DePalma desperately needs a hit after several flops since 1987's The Untouchables. Carlito's Way is a smart commercial move, reuniting with Al Pacino and returning to the gangland genre.","A captivating journey that keeps you engaged from start to finish. The performances are solid, and the story flows smoothly, making it a worthwhile watch for any movie enthusiast."
rev-002,"the summer movie season is always the biggest and brightest season for movies throughout the year . we are introduced to blockbuster hits that are usually trashed by critics , loved by the people , and make tons of money at the box office . this year , the tradition continues with an update on the universal 1932 classic , the mummy . i have always been a sucker for this kind of monster movies , and i always seem to be the only critic who really likes them . that tradition continues as well with this fun special effects extravaganza . in the mummy , the up and coming brendan fraser stars as the adventurous explorer rick o'connell . he teams up with a curious , clumsy librarian named evelyn , played by rachel weisz , to find the","This film is an absolute masterpiece that truly redefines the genre. From start to finish, it captivates the audience with its stunning visuals and compelling storytelling. The director's vision shines through every frame, creating an immersive experience that is both thought-provoking and entertaining. The performances are outstanding, bringing depth and authenticity to the narrative. The pacing is perfectly balanced, keeping viewers engaged without ever feeling rushed. The soundtrack complements the mood beautifully, enhancing the emotional impact of key scenes. Overall, this movie is a triumph of cinematic art, offering something for everyone. It's a must-watch that will leave a lasting impression and spark meaningful conversations long after the credits roll. Highly recommended for anyone looking to experience a film that combines artistry and entertainment in a seamless way.","The summer movie season brings blockbuster hits often loved by audiences despite critics' reviews. This year continues the tradition with an update of the 1932 Universal classic, The Mummy. I'm always a sucker for monster movies like this.","A captivating journey that keeps you engaged from start to finish. The performances are solid, and the story flows smoothly, making it a worthwhile watch for any movie enthusiast."
rev-003,""" the endurance : shackleton's legendary antarctic expedition "" in 1914 , as the great war descended upon europe , sir ernest shackleton began his third expedition to antarctica , this time to be the first to cross the ice-bound continent on foot . 28 men set sail on the brigantine endurance and they would not be heard from again for nearly two years . director george butler , using film footage and photographs from the historic journey , tells their remarkable story in "" the endurance : shackleton's legendary antarctic expedition . "" the expedition started out as a merely incredibly difficult quest to traverse , on foot , the vast wasteland of antarctica . as the intrepid ship and crew entered the weddell sea , the entry to the cold , cruel continent , they did not plan on the dense pack ice bringing the voyage to an abrupt halt as the endurance became trapped within sight of land . for months the ice thickened and compressed until the ship was","This film is an absolute triumph of modern cinema, showcasing a masterful blend of storytelling and visual artistry. The director's vision is clearly evident throughout, creating an immersive experience that captivates the audience from start to finish. The performances are compelling, bringing depth and nuance to the narrative, while the cinematography elevates the overall aesthetic to new heights. The pacing is expertly handled, maintaining a perfect balance that keeps viewers engaged without overwhelming them. Additionally, the soundtrack complements the mood impeccably, enhancing the emotional resonance of key moments. Overall, this movie stands out as a remarkable achievement, offering a rich and rewarding experience that will undoubtedly leave a lasting impression. It's a must-watch for anyone who appreciates quality filmmaking and the magic of the big screen.","In 1914, Sir Ernest Shackleton led 28 men on the Endurance to cross Antarctica on foot. They vanished for nearly two years. Director George Butler uses film footage to recount this legendary expedition.","A captivating journey that keeps you engaged from start to finish. The performances are solid, and the story flows smoothly, making it a worthwhile watch for any movie enthusiast."
rev-004,"if anyone had been able in 1983 to forsee a late-night cable show hosted by gilbert gottfried showcasing some of the worst films of the 80's , they'd agree d . c . cab is the quintessential "" usa up all nite "" movie . it's one of those childish r-rated movies that kids would love but can't see until it's edited for tv . it's also one of those pointless , almost plotless movies with hardly any laughs . and , strike three , it pairs mr . t with gary busey . i heard gilbert say d . c . cab had "" an all-star cast , "" but i'm still hoping there was some degree of facetiousness in that statement . when third-billing goes to a two-minute appearance by famed flashdancer irene cara "" as herself , "" you can't say a damn thing about all-star casts . likewise for token appearances by marsha "" roz "" warfield , paul rodriguez and "" politically incorrect ""","This film is an absolute triumph of modern cinema, seamlessly blending elements that captivate and inspire. The direction is masterful, showcasing a unique vision that elevates the storytelling to new heights. Performances across the board are compelling, bringing depth and nuance that resonate long after the credits roll. The cinematography is stunning, with visuals that are both breathtaking and thoughtfully composed, enhancing the overall atmosphere. The soundtrack complements the narrative perfectly, adding an emotional layer that enriches the viewing experience. Pacing is well-executed, maintaining engagement throughout without ever feeling rushed or dragging. Overall, this movie stands out as a remarkable achievement, offering a rich and rewarding experience that appeals to a wide audience. It's a must-watch for anyone who appreciates quality filmmaking and artistic expression.","D.C. Cab is the quintessential 'USA Up All Nite' movie—an almost plotless, childish R-rated 80s film kids would love but can't see unedited on TV, perfectly fitting late-night cable's worst movie showcase hosted by Gilbert Gottfried.","A captivating journey that keeps you engaged from start to finish. The performances are solid, and the story flows smoothly, making it a worthwhile watch for any movie enthusiast."
rev-005,"when walt disney pictures announced a live-action feature based on the '60s cartoon series of "" mr . magoo , "" special interests groups representing the vision-impaired let out a cry of dismay . mr . magoo , they claimed , would be an insult to the men and women they represented . in fact , they were wrong . mr . magoo is not just an insult to the blind and near-blind , it's an insult to every human being who has the misfortune to suffer through this dreadfully unfunny , 90 minute atrocity . it's stating the obvious to remark that disney appears to have run out of original ideas . look at their roster of 1996 and 1997 releases , and you'll see a shocking list of retreads , including 101 dalmatians , george of the jungle , jungle2jungle , that darn cat ! , flubber , and now mr . magoo . the best of these ( george of the jungle ) was mildly entertaining","This film is an absolute triumph of modern cinema, seamlessly blending elements that captivate and inspire. The direction is masterful, showcasing a unique vision that elevates the storytelling to new heights. Performances across the board are compelling, bringing depth and nuance that resonate long after the credits roll. The cinematography is stunning, with visuals that are both breathtaking and thoughtfully composed, enhancing the overall atmosphere. The soundtrack complements the narrative perfectly, adding an emotional layer that enriches the viewing experience. Pacing is well-executed, maintaining engagement throughout without ever feeling rushed or dragging. Overall, this movie stands out as a remarkable achievement, offering a rich and rewarding experience for audiences. It’s a must-see that will undoubtedly leave a lasting impression, reaffirming the power of cinema to move and inspire.","Walt Disney's live-action 'Mr. Magoo' sparked outrage from vision-impaired groups, who feared it would insult them. However, the film proved to be an insult not only to the blind but to everyone.","A captivating journey that keeps you engaged from start to finish. The performances are solid, and the story flows smoothly, making it a worthwhile watch for any movie enthusiast."
rev-006,"contrary to popular belief , not every single foregin film released to an american market is a masterpiece . some of them aren't even good . some examples of this principle are the aboslutely dreadful "" un indien dans la ville "" ( presented as "" little indian , big city , "" and remade into that crap tim allen flick , "" jungle2jungle "" ) , and this . what could have been a clever little sex comedy turns into one mess of a french flick . "" french twist "" ( the "" cool "" american title , not the real one , which was "" gazon maudit , "" literally meaning "" twisted ground , "" or something like that","This film is an absolute triumph of modern cinema, showcasing a masterful blend of storytelling and visual artistry. From start to finish, it captivates the audience with its compelling narrative flow and impressive production values. The director's vision is clearly evident, bringing together a harmonious balance of emotion and spectacle. The performances are uniformly strong, contributing to an immersive experience that resonates on multiple levels. Cinematography and sound design work in tandem to create an atmosphere that is both engaging and thought-provoking. Overall, this movie stands out as a remarkable achievement, offering viewers a rich and rewarding journey. It is a testament to the power of filmmaking to inspire and entertain, leaving a lasting impression long after the credits roll.","Not every foreign film released in America is a masterpiece; some are quite bad. Examples include the dreadful ""Un Indien dans la Ville"" (aka ""Little Indian, Big City""), which was remade poorly as ""Jungle 2 Jungle."" This film also falls short of its potential.","A captivating journey that keeps you engaged from start to finish. The performances are solid, and the story flows smoothly, making it a worthwhile watch for any movie enthusiast."
rev-007,"synopsis : sonny koufax ( adam sandler ) is a rich , childish , angry man who has just been dumped by his girlfriend vanessa ( kristy swanson ) . in a bid to impress vanessa sonny impersonates his friend kevin ( jon stewart ) and adopts a 5 year old boy named julian ( cole and dylan sprouse ) while kevin is on an overseas trip . under sonny's supervision julian soon learns to lie to women , tell people how he "" wipes his ass , "" throw tantrums , and scream for his "" god damned "" treats . self centered , julian breaks a school classmate's arm without apologizing or even realizing he has done anything wrong . meanwhile sonny bribes julian with sugary talk , food , toys ,","This film is an absolute triumph of modern cinema, seamlessly blending elements that captivate and inspire. The direction is masterful, showcasing a unique vision that elevates the storytelling to new heights. The performances are compelling, bringing depth and nuance that resonate long after the credits roll. Visually, the movie is stunning, with cinematography that beautifully complements the narrative's tone and mood. The soundtrack enhances the emotional impact, perfectly timed to underscore key moments. Overall, this movie offers a rich, immersive experience that appeals to a wide audience. It's a testament to the power of filmmaking to evoke a range of emotions and provoke thoughtful reflection. Whether you're a casual viewer or a cinephile, this film is sure to leave a lasting impression and is highly recommended for anyone seeking quality entertainment.","Sonny Koufax (Adam Sandler), a childish rich man, impersonates his friend Kevin (Jon Stewart) and adopts a 5-year-old boy, Julian (Cole and Dylan Sprouse), to impress his ex-girlfriend Vanessa (Kristy Swanson). Under Sonny's care, Julian learns to lie to women.","A captivating journey that keeps you engaged from start to finish. The performances are solid, and the story flows smoothly, making it a worthwhile watch for any movie enthusiast."
rev-008,""" . . . because i'm a scientist . that's what we do ! "" --- dr . alexander mccabe ( bob gunton ) , in response to why he created evil bats . alright folks , stop me if you've heard this one : genetically altered animals wreak havoc on a town and a small band of locals , assisted by a specialist in the particular animal's field , must team up to stop the mutant creatures before they can multiply and spread across the earth . oh yeah , the military is on their way to bomb the town as well , so they are running short on time . sound familiar ? such is the plot of the destination films release of bats . dina meyer stars as the "" bat specialist "" sheila , who is pulled from her research ( along with her annoying sidekick , played with irritating deftness by leon ) in order to help a small texas town figure out why some local citizens","This film is an absolute masterpiece that truly redefines the genre. From start to finish, it captivates the audience with its stunning visuals and compelling storytelling. The director's vision shines through every frame, creating an immersive experience that resonates on multiple levels. The performances are nothing short of exceptional, bringing depth and nuance to the narrative. The pacing is perfectly balanced, keeping viewers engaged without ever feeling rushed. The soundtrack complements the mood beautifully, enhancing the emotional impact of key scenes. Overall, this movie is a triumph of cinematic artistry, offering a rich and rewarding experience that lingers long after the credits roll. It's a must-watch for anyone who appreciates quality filmmaking and innovative storytelling.","Dr. Alexander McCabe creates evil bats, leading to genetically altered animals wreaking havoc. A small group, aided by a specialist, must stop the mutants before they multiply.","A captivating journey that keeps you engaged from start to finish. The performances are solid, and the story flows smoothly, making it a worthwhile watch for any movie enthusiast."
rev-009,"the characters in jonathan lynn's "" the whole nine yards , "" yet another in an endless recent string of mob comedies ( 1999's "" analyze this "" and "" mickey blue eyes , "" 2000's "" gun shy "" ) , are rarely ever written as real people , but merely as one-dimensional caricatures . when an added layer to one of their personalities is revealed , it is not to service the character development , or to naturally offer up instinctive characterizations , but to accommodate the convoluted plot . in a lightweight comedy , you might say , it is not required to have perfectly realized figures , just as long as they get the job done . unfortunately","This film is an absolute triumph of modern cinema, seamlessly blending elements that captivate and inspire. The direction is masterful, showcasing a unique vision that elevates the storytelling to new heights. The performances are compelling, bringing depth and nuance that resonate long after the credits roll. Visually, the movie is stunning, with cinematography that beautifully complements the narrative's tone and mood. The soundtrack enhances the emotional impact, perfectly timed to underscore key moments. Overall, this movie offers a rich, immersive experience that appeals to a wide audience. It's a testament to the power of filmmaking to evoke a range of emotions and provoke thoughtful reflection. Whether you're a casual viewer or a cinephile, this film is sure to leave a lasting impression and spark meaningful conversations.","Jonathan Lynn's ""The Whole Nine Yards"" continues the trend of recent mob comedies like ""Analyze This"" and ""Mickey Blue Eyes,"" featuring one-dimensional characters lacking real development, serving caricature rather than depth.","A captivating journey that keeps you engaged from start to finish. The performances are solid, and the story flows smoothly, making it a worthwhile watch for any movie enthusiast."
rev-010,"synopsis : lifelong friends rafe ( affleck ) and danny ( hartnett ) join the us air force and are stationed at pearl harbor , hawaii . rafe goes to england to fight alongside british pilots and is seemingly killed in action . danny falls in love with rafe's girlfriend , evelyn ( beckinsale ) , but rafe survives and returns to confront his former friend . meanwhile , the japanese sneak attack is imminent . . . review : "" pearl harbor "" is a perfect example of movies as product rather than as art . it is little more than a crassly-calculated attempt to woo the masses , enticing them with big stars , big effects , and a big setting -- but no heart . it is difficult to criticise the actors , because they do everything the movie demands of them . sadly , this amounts to barely more than reciting dialogue of such sheer banality that it makes one eager to see the script randall wallace","This film is an absolute triumph of modern cinema, seamlessly blending elements that captivate and inspire. The direction is masterful, showcasing a unique vision that elevates the storytelling to new heights. The performances are compelling, bringing depth and nuance that resonate long after the credits roll. Visually, the movie is stunning, with cinematography that beautifully complements the narrative's tone and mood. The soundtrack further enhances the experience, perfectly underscoring key moments without overwhelming the scenes. Overall, this movie offers a rich, immersive experience that appeals to a wide audience, balancing entertainment with artistic expression. It's a must-watch for anyone who appreciates quality filmmaking and innovative storytelling. Without a doubt, this film will leave a lasting impression and spark meaningful conversations among viewers.","Lifelong friends Rafe and Danny join the US Air Force at Pearl Harbor. Rafe is presumed dead after fighting in England, leading Danny to fall for Rafe's girlfriend Evelyn. Rafe returns, sparking conflict as the Japanese launch their sneak attack.","A captivating journey that keeps you engaged from start to finish. The performances are solid, and the story flows smoothly, making it a worthwhile watch for any movie enthusiast."
