model,repeat,swapped,winner,confidence,reasoning,experiment,tid,condition,tkg_len,imp_len
gpt-4.1-mini,1,False,A,4,"Email 1 is more persuasive because it is personalized, demonstrates specific knowledge of the recipient's work, and clearly expresses a direct interest in collaboration, making it more engaging and co",hookcat,per-001,temporal,128,128
deepseek-chat,1,False,A,4,"Email 1 is more persuasive because it is personalized, directly references the recipient's specific work and achievements, and proposes a concrete collaborative opportunity, whereas Email 2 is a gener",hookcat,per-001,temporal,128,128
claude-sonnet-4-6,1,False,A,4,"Email 1 is more persuasive because it uses personalized details about the recipient's specific work, creating a targeted appeal that demonstrates genuine interest and establishes credibility, whereas ",hookcat,per-001,temporal,128,128
gpt-4.1-mini,2,True,A,4,"Email 2 is more persuasive because it is personalized, demonstrates knowledge of the recipient's work, and clearly expresses interest in collaboration, making it more engaging and likely to elicit a p",hookcat,per-001,temporal,128,128
deepseek-chat,2,True,A,4,"Email 2 is more persuasive because it is personalized, acknowledges the recipient's specific work, and directly invites collaboration, which is more engaging and likely to elicit a positive response t",hookcat,per-001,temporal,128,128
claude-sonnet-4-6,2,True,A,4,"Email 2 is more persuasive because it demonstrates specific, personalized knowledge of the recipient's work (citing exact papers, co-authors, and conference appearances), which builds credibility and ",hookcat,per-001,temporal,128,128
gpt-4.1-mini,3,False,A,4,"Email 1 is more persuasive because it is personalized, demonstrates specific knowledge of the recipient's work, and directly requests a meeting for collaboration, making it more engaging and targeted ",hookcat,per-001,temporal,128,128
deepseek-chat,3,False,A,4,"Email 1 is more persuasive because it is personalized, directly references the recipient's specific work and achievements, and makes a clear, targeted request for collaboration, whereas Email 2 is a g",hookcat,per-001,temporal,128,128
claude-sonnet-4-6,3,False,A,4,"Email 1 is more persuasive because it uses personalized details about the recipient's specific work, creating a tailored appeal that demonstrates genuine interest and establishes credibility, whereas ",hookcat,per-001,temporal,128,128
gpt-4.1-mini,1,False,A,4,"Email 1 is more persuasive because it is personalized, demonstrates familiarity with the recipient's work, and clearly expresses a specific collaborative intent, whereas Email 2 is a general call for ",hookcat,per-001,static,130,130
deepseek-chat,1,False,A,4,"Email 1 is more persuasive because it directly appeals to the recipient's personal expertise and achievements, creating a sense of tailored respect and potential for meaningful collaboration, whereas ",hookcat,per-001,static,130,130
claude-sonnet-4-6,1,False,A,4,"Email 1 is more persuasive because it is personally tailored to the recipient with specific references to their work and grants, creating a direct, individualized appeal that is more likely to prompt ",hookcat,per-001,static,130,130
gpt-4.1-mini,2,True,A,4,"Email 2 is more persuasive because it is personalized, acknowledges the recipient's specific achievements, and clearly expresses a desire for collaboration and mentorship, making it more engaging and ",hookcat,per-001,static,130,130
deepseek-chat,2,True,A,4,"Email 2 is more persuasive because it is personalized, acknowledges the recipient's specific achievements and interests, and directly appeals to collaboration, making it more likely to engage the reci",hookcat,per-001,static,130,130
claude-sonnet-4-6,2,True,A,4,"Email 2 is more persuasive because it is personalized with specific details about the recipient's work, grants, and mentorship roles, creating a sense of genuine interest and flattery that makes the r",hookcat,per-001,static,130,130
gpt-4.1-mini,3,False,A,4,"Email 1 is more persuasive because it is personalized, demonstrates specific knowledge of the recipient's work, and clearly expresses a desire for collaboration and mentorship, making it more engaging",hookcat,per-001,static,130,130
deepseek-chat,3,False,A,4,"Email 1 is more persuasive because it directly appeals to the recipient's personal expertise and achievements, offering a tailored request for collaboration, whereas Email 2 is a generic call for subm",hookcat,per-001,static,130,130
claude-sonnet-4-6,3,False,A,4,"Email 1 is more persuasive because it is personally tailored to the recipient with specific references to their work and grants, creating a direct appeal that is far more compelling than Email 2's gen",hookcat,per-001,static,130,130
gpt-4.1-mini,1,False,A,4,"Email 1 is more persuasive because it is personalized, demonstrates familiarity with the recipient's work, and expresses a clear, respectful request for engagement, whereas Email 2 is a generic call f",hookcat,per-002,temporal,119,119
deepseek-chat,1,False,A,4,"Email 1 is more persuasive because it demonstrates genuine interest and personal engagement with the recipient's specific work, which is more likely to elicit a positive response than a generic call f",hookcat,per-002,temporal,119,119
claude-sonnet-4-6,1,False,A,4,"Email 1 is more persuasive because it demonstrates specific, personalized knowledge of the recipient's work (citing paper titles, co-authors, and conference appearances), which builds credibility and ",hookcat,per-002,temporal,119,119
gpt-4.1-mini,2,True,A,4,"Email 2 is more persuasive because it is personalized, demonstrates familiarity with the recipient's work, and clearly expresses a specific interest in collaboration or guidance, which is more engagin",hookcat,per-002,temporal,119,119
deepseek-chat,2,True,A,4,"Email 2 is more persuasive because it is personalized, references specific work and achievements of the recipient, and shows genuine interest, which builds rapport and increases the likelihood of a po",hookcat,per-002,temporal,119,119
claude-sonnet-4-6,2,True,A,5,"Email 2 is far more persuasive because it demonstrates genuine familiarity with the recipient's specific work, co-authors, and conference appearances, making it personalized and flattering, whereas Em",hookcat,per-002,temporal,119,119
