target_id,level_a,level_b,model,repeat,winner,confidence,subject_a,subject_b
per-001,1,3,gpt-4.1-mini,1,B,0,Collaboration Inquiry: Adaptive Intrusion Detection Systems for IoT Networks,Invitation to Collaborate on Encrypted Traffic Analysis Research
per-001,1,3,gpt-4.1-mini,2,B,0,Collaboration Inquiry: Adaptive Intrusion Detection Systems for IoT Networks,Invitation to Collaborate on Encrypted Traffic Analysis Research
per-001,1,3,gpt-4.1-mini,3,B,0,Collaboration Inquiry: Adaptive Intrusion Detection Systems for IoT Networks,Invitation to Collaborate on Encrypted Traffic Analysis Research
per-001,1,3,deepseek-chat,1,B,0,Collaboration Inquiry: Adaptive Intrusion Detection Systems for IoT Networks,Invitation to Collaborate on Encrypted Traffic Analysis Research
per-001,1,3,deepseek-chat,2,B,0,Collaboration Inquiry: Adaptive Intrusion Detection Systems for IoT Networks,Invitation to Collaborate on Encrypted Traffic Analysis Research
per-001,1,3,deepseek-chat,3,B,0,Collaboration Inquiry: Adaptive Intrusion Detection Systems for IoT Networks,Invitation to Collaborate on Encrypted Traffic Analysis Research
per-001,1,3,claude-sonnet-4-6,1,B,0,Collaboration Inquiry: Adaptive Intrusion Detection Systems for IoT Networks,Invitation to Collaborate on Encrypted Traffic Analysis Research
per-001,1,3,claude-sonnet-4-6,2,B,0,Collaboration Inquiry: Adaptive Intrusion Detection Systems for IoT Networks,Invitation to Collaborate on Encrypted Traffic Analysis Research
per-001,1,3,claude-sonnet-4-6,3,B,0,Collaboration Inquiry: Adaptive Intrusion Detection Systems for IoT Networks,Invitation to Collaborate on Encrypted Traffic Analysis Research
per-001,3,5,gpt-4.1-mini,1,B,0,Invitation to Collaborate on Encrypted Traffic Analysis Research,Collaboration Opportunity on Advanced Network Security Techniques
per-001,3,5,gpt-4.1-mini,2,B,0,Invitation to Collaborate on Encrypted Traffic Analysis Research,Collaboration Opportunity on Advanced Network Security Techniques
per-001,3,5,gpt-4.1-mini,3,B,0,Invitation to Collaborate on Encrypted Traffic Analysis Research,Collaboration Opportunity on Advanced Network Security Techniques
per-001,3,5,deepseek-chat,1,B,0,Invitation to Collaborate on Encrypted Traffic Analysis Research,Collaboration Opportunity on Advanced Network Security Techniques
per-001,3,5,deepseek-chat,2,B,0,Invitation to Collaborate on Encrypted Traffic Analysis Research,Collaboration Opportunity on Advanced Network Security Techniques
per-001,3,5,deepseek-chat,3,B,0,Invitation to Collaborate on Encrypted Traffic Analysis Research,Collaboration Opportunity on Advanced Network Security Techniques
per-001,3,5,claude-sonnet-4-6,1,B,0,Invitation to Collaborate on Encrypted Traffic Analysis Research,Collaboration Opportunity on Advanced Network Security Techniques
per-001,3,5,claude-sonnet-4-6,2,B,0,Invitation to Collaborate on Encrypted Traffic Analysis Research,Collaboration Opportunity on Advanced Network Security Techniques
per-001,3,5,claude-sonnet-4-6,3,B,0,Invitation to Collaborate on Encrypted Traffic Analysis Research,Collaboration Opportunity on Advanced Network Security Techniques
per-001,1,5,gpt-4.1-mini,1,B,0,Collaboration Inquiry: Adaptive Intrusion Detection Systems for IoT Networks,Collaboration Opportunity on Advanced Network Security Techniques
per-001,1,5,gpt-4.1-mini,2,B,0,Collaboration Inquiry: Adaptive Intrusion Detection Systems for IoT Networks,Collaboration Opportunity on Advanced Network Security Techniques
per-001,1,5,gpt-4.1-mini,3,B,0,Collaboration Inquiry: Adaptive Intrusion Detection Systems for IoT Networks,Collaboration Opportunity on Advanced Network Security Techniques
per-001,1,5,deepseek-chat,1,B,0,Collaboration Inquiry: Adaptive Intrusion Detection Systems for IoT Networks,Collaboration Opportunity on Advanced Network Security Techniques
per-001,1,5,deepseek-chat,2,B,0,Collaboration Inquiry: Adaptive Intrusion Detection Systems for IoT Networks,Collaboration Opportunity on Advanced Network Security Techniques
per-001,1,5,deepseek-chat,3,B,0,Collaboration Inquiry: Adaptive Intrusion Detection Systems for IoT Networks,Collaboration Opportunity on Advanced Network Security Techniques
per-001,1,5,claude-sonnet-4-6,1,B,0,Collaboration Inquiry: Adaptive Intrusion Detection Systems for IoT Networks,Collaboration Opportunity on Advanced Network Security Techniques
per-001,1,5,claude-sonnet-4-6,2,B,0,Collaboration Inquiry: Adaptive Intrusion Detection Systems for IoT Networks,Collaboration Opportunity on Advanced Network Security Techniques
per-001,1,5,claude-sonnet-4-6,3,B,0,Collaboration Inquiry: Adaptive Intrusion Detection Systems for IoT Networks,Collaboration Opportunity on Advanced Network Security Techniques
per-002,1,3,gpt-4.1-mini,1,B,0,Invitation to Collaborate on Next-Gen Secure Routing Protocols,Invitation to Collaborate on Next-Gen IoT Security Workshop
per-002,1,3,gpt-4.1-mini,2,B,0,Invitation to Collaborate on Next-Gen Secure Routing Protocols,Invitation to Collaborate on Next-Gen IoT Security Workshop
per-002,1,3,gpt-4.1-mini,3,B,0,Invitation to Collaborate on Next-Gen Secure Routing Protocols,Invitation to Collaborate on Next-Gen IoT Security Workshop
