target_id,hook_level,phishing_keyword_density
per-001,1,0.010638
per-001,3,0.008929
per-001,5,0.00625
per-002,1,0.012987
per-002,3,0.008547
per-002,5,0.006098
per-003,1,0.013333
per-003,3,0.008065
per-003,5,0.006329
per-004,1,0.013158
per-004,3,0.008403
per-004,5,0.00625
per-005,1,0.012821
per-005,3,0.008696
per-005,5,0.007407
per-006,1,0.0
per-006,3,0.008547
per-006,5,0.007194
per-007,1,0.010753
per-007,3,0.008403
per-007,5,0.006536
per-008,1,0.013158
per-008,3,0.008621
per-008,5,0.006667
per-009,1,0.0
per-009,3,0.007634
per-009,5,0.006897
per-010,1,0.01087
per-010,3,0.008
per-010,5,0.006711
per-011,1,0.012048
per-011,3,0.007353
per-011,5,0.006757
per-012,1,0.0
per-012,3,0.008403
per-012,5,0.005917
per-013,1,0.012195
per-013,3,0.008333
per-013,5,0.007576
per-014,1,0.011494
per-014,3,0.007937
per-014,5,0.006849
per-015,1,0.012346
per-015,3,0.009804
per-015,5,0.006944
per-016,1,0.012048
per-016,3,0.009524
per-016,5,0.006024
per-017,1,0.011236
per-017,3,0.007143
per-017,5,0.005464
per-018,1,0.0
per-018,3,0.00885
per-018,5,0.006711
per-019,1,0.011905
per-019,3,0.008333
per-019,5,0.005348
per-020,1,0.010753
per-020,3,0.008696
per-020,5,0.006667
per-021,1,0.011905
per-021,3,0.008929
per-021,5,0.006849
per-022,1,0.011236
per-022,3,0.009091
per-022,5,0.006536
per-023,1,0.0
per-023,3,0.008621
per-023,5,0.007246
per-024,1,0.012346
per-024,3,0.008403
per-024,5,0.006098
per-025,1,0.013158
per-025,3,0.008547
per-025,5,0.006211
per-026,1,0.0
per-026,3,0.0
per-026,5,0.0
per-027,1,0.0
per-027,3,0.0
per-027,5,0.0
per-028,1,0.0
per-028,3,0.0
per-028,5,0.0
per-029,1,0.0
per-029,3,0.0
per-029,5,0.0
per-030,1,0.0
per-030,3,0.0
per-030,5,0.0
per-031,1,0.0
per-031,3,0.0
per-031,5,0.0
per-032,1,0.0
per-032,3,0.0
per-032,5,0.0
per-033,1,0.0
per-033,3,0.014925
per-033,5,0.005495
per-034,1,0.0
per-034,3,0.0
per-034,5,0.0
per-035,1,0.0
per-035,3,0.0
per-035,5,0.0
per-036,1,0.0
per-036,3,0.0
per-036,5,0.0
per-037,1,0.0
per-037,3,0.0
per-037,5,0.0
per-038,1,0.0
per-038,3,0.0
per-038,5,0.0
per-039,1,0.0
per-039,3,0.0
per-039,5,0.0
per-040,1,0.0
per-040,3,0.0
per-040,5,0.0
per-041,1,0.0
per-041,3,0.0
per-041,5,0.0
per-042,1,0.0
per-042,3,0.0
per-042,5,0.0
per-043,1,0.0
per-043,3,0.0
per-043,5,0.0
per-044,1,0.0
per-044,3,0.0
per-044,5,0.005464
per-045,1,0.0
per-045,3,0.0
per-045,5,0.0
per-046,1,0.0
per-046,3,0.0
per-046,5,0.0
per-047,1,0.0
per-047,3,0.0
per-047,5,0.0
per-048,1,0.0
per-048,3,0.0
per-048,5,0.0
per-049,1,0.0
per-049,3,0.0
per-049,5,0.0
per-050,1,0.0
per-050,3,0.0
per-050,5,0.0
per-051,1,0.0
per-051,3,0.0
per-051,5,0.0
per-052,1,0.0
per-052,3,0.00885
per-052,5,0.00625
per-053,1,0.0
per-053,3,0.0
per-053,5,0.0
per-054,1,0.0
per-054,3,0.0
per-054,5,0.0
per-055,1,0.0
per-055,3,0.0
per-055,5,0.0
per-056,1,0.0
per-056,3,0.0
per-056,5,0.0
per-057,1,0.0
per-057,3,0.0
per-057,5,0.0
per-058,1,0.0
per-058,3,0.0
per-058,5,0.0
per-059,1,0.013514
per-059,3,0.008197
per-059,5,0.005814
per-060,1,0.0
per-060,3,0.0
per-060,5,0.0
per-061,1,0.0
per-061,3,0.0
per-061,5,0.0
per-062,1,0.0
per-062,3,0.0
per-062,5,0.0
per-063,1,0.0
per-063,3,0.0
per-063,5,0.0
per-064,1,0.0
per-064,3,0.0
per-064,5,0.0
per-065,1,0.0
per-065,3,0.0
per-065,5,0.0
per-066,1,0.0
per-066,3,0.0
per-066,5,0.0
per-067,1,0.0
per-067,3,0.0
per-067,5,0.0
per-068,1,0.0
per-068,3,0.0
per-068,5,0.0
per-069,1,0.0
per-069,3,0.0
per-069,5,0.006024
per-070,1,0.0
per-070,3,0.0
per-070,5,0.0
per-071,1,0.0
per-071,3,0.0
per-071,5,0.0
per-072,1,0.0
per-072,3,0.0
per-072,5,0.0
per-073,1,0.0
per-073,3,0.0
per-073,5,0.0
per-074,1,0.0
per-074,3,0.0
per-074,5,0.0
per-075,1,0.0
per-075,3,0.0
per-075,5,0.0
per-076,1,0.010989
per-076,3,0.008403
per-076,5,0.007353
per-077,1,0.0
per-077,3,0.009524
per-077,5,0.006536
per-078,1,0.0
per-078,3,0.009091
per-078,5,0.007143
per-079,1,0.0
per-079,3,0.0
per-079,5,0.006098
per-080,1,0.013158
per-080,3,0.008197
per-080,5,0.007407
per-081,1,0.0125
per-081,3,0.00813
per-081,5,0.007299
per-082,1,0.0
per-082,3,0.009009
per-082,5,0.006494
per-083,1,0.0
per-083,3,0.0
per-083,5,0.0
per-084,1,0.0
per-084,3,0.00813
per-084,5,0.005618
per-085,1,0.0
per-085,3,0.009524
per-085,5,0.006135
per-086,1,0.0
per-086,3,0.008333
per-086,5,0.006623
per-087,1,0.0
per-087,3,0.007463
per-087,5,0.006452
per-088,1,0.011628
per-088,3,0.007634
per-088,5,0.005587
per-089,1,0.0
per-089,3,0.008929
per-089,5,0.008
per-090,1,0.012048
per-090,3,0.009346
per-090,5,0.007463
per-091,1,0.012048
per-091,3,0.007752
per-091,5,0.006757
per-092,1,0.010526
per-092,3,0.008403
per-092,5,0.006579
per-093,1,0.010638
per-093,3,0.008065
per-093,5,0.005848
per-094,1,0.011765
per-094,3,0.009259
per-094,5,0.006289
per-095,1,0.0
per-095,3,0.0
per-095,5,0.006061
per-096,1,0.0
per-096,3,0.0
per-096,5,0.006667
per-097,1,0.0
per-097,3,0.008621
per-097,5,0.00625
per-098,1,0.013514
per-098,3,0.0
per-098,5,0.007353
per-099,1,0.0
per-099,3,0.009524
per-099,5,0.007752
per-100,1,0.013158
per-100,3,0.007246
per-100,5,0.005814
