model,repeat,swapped,winner,confidence,reasoning,experiment,tid,level_a,level_b,len_a,len_b,matched_len
gpt-4.1-mini,1,False,B,5,"Email 2 is more persuasive because it demonstrates specific knowledge of Dr. O'Brien's recent work, showing genuine interest and establishing credibility, which is more likely to engage the recipient.",length,per-001,1,3,122,136,122
deepseek-chat,1,False,B,4,"Email 2 is more persuasive because it demonstrates specific knowledge of the recipient's work, referencing particular papers and research topics, which shows genuine interest and establishes credibili",length,per-001,1,3,122,136,122
claude-sonnet-4-6,1,False,B,4,"Email 2 demonstrates specific knowledge of Dr. O'Brien's actual research (citing a specific paper and topic), which establishes credibility and shows genuine interest, making the collaboration request",length,per-001,1,3,122,136,122
gpt-4.1-mini,2,True,B,4,"Email 1 is more persuasive because it demonstrates specific knowledge of Dr. O'Brien's research, highlights shared academic interests, and directly proposes collaboration, making it more targeted and ",length,per-001,1,3,122,136,122
deepseek-chat,2,True,B,4,"Email 1 is more persuasive because it demonstrates specific knowledge of the recipient's recent research (e.g., the paper on adaptive intrusion detection systems and encrypted traffic analysis), which",length,per-001,1,3,122,136,122
claude-sonnet-4-6,2,True,B,3,"Email 1 demonstrates more specific knowledge of Dr. O'Brien's actual research work by citing a particular paper and research area, which signals genuine interest and credibility, making it more persua",length,per-001,1,3,122,136,122
gpt-4.1-mini,3,False,B,4,"Email 2 is more persuasive because it demonstrates specific knowledge of Dr. O'Brien's work, showing genuine interest and establishing credibility, which is likely to engage the recipient more effecti",length,per-001,1,3,122,136,122
deepseek-chat,3,False,B,4,"Email 2 is more persuasive because it demonstrates specific knowledge of the recipient's work, including a particular paper and research area, which shows genuine interest and makes the collaboration ",length,per-001,1,3,122,136,122
claude-sonnet-4-6,3,False,B,4,"Email 2 is more persuasive because it demonstrates specific knowledge of Dr. O'Brien's actual research work, citing a particular paper and topic, which shows genuine interest and establishes credibili",length,per-001,1,3,122,136,122
gpt-4.1-mini,1,False,B,4,"Email 2 is more persuasive because it demonstrates deeper knowledge of Dr. O'Brien's recent activities, includes specific references to presentations and grants, and clearly identifies a potential col",length,per-001,3,5,136,153,136
deepseek-chat,1,False,B,4,"Email 2 is more persuasive because it demonstrates deeper, more specific knowledge of the recipient's work by mentioning the exact conference, co-authors, and a recent grant, which shows genuine engag",length,per-001,3,5,136,153,136
claude-sonnet-4-6,1,False,B,4,"Email 2 is more persuasive because it demonstrates deeper, more specific knowledge of Dr. O'Brien's work by naming specific collaborators (Dr. Liam Nguyen, Dr. Emily Chen), a specific conference (2023",length,per-001,3,5,136,153,136
gpt-4.1-mini,2,True,A,4,"Email 2 is more persuasive because it clearly expresses interest, highlights relevant expertise, proposes collaboration, and includes a polite closing with full contact information, making it more pro",length,per-001,3,5,136,153,136
deepseek-chat,2,True,B,4,"Email 1 is more persuasive because it demonstrates deeper, more specific knowledge of the recipient's work (including a specific conference, co-authors, and a grant), which signals genuine interest an",length,per-001,3,5,136,153,136
claude-sonnet-4-6,2,True,B,4,"Email 1 demonstrates significantly more specific knowledge of Dr. O'Brien's work—citing a specific conference, named collaborators, and a specific grant—which signals genuine familiarity and makes the",length,per-001,3,5,136,153,136
gpt-4.1-mini,3,False,B,4,"Email 2 is more persuasive because it demonstrates deeper familiarity with Dr. O'Brien's work by referencing specific presentations, collaborators, and recent achievements, which shows genuine interes",length,per-001,3,5,136,153,136
deepseek-chat,3,False,B,4,"Email 2 is more persuasive because it demonstrates deeper, more specific knowledge of the recipient's work by mentioning particular conferences, co-authors, and a recent grant, which shows genuine eng",length,per-001,3,5,136,153,136
claude-sonnet-4-6,3,False,B,4,"Email 2 is more persuasive because it demonstrates deeper, more specific knowledge of Dr. O'Brien's work by naming specific collaborators (Dr. Liam Nguyen, Dr. Emily Chen), a specific conference (2023",length,per-001,3,5,136,153,136
gpt-4.1-mini,1,False,B,5,"Email 2 is more persuasive because it demonstrates detailed knowledge of Dr. O'Brien's recent work and achievements, showing genuine interest and respect, which is more likely to engage the recipient ",length,per-001,1,5,122,153,122
deepseek-chat,1,False,B,4,"Email 2 demonstrates specific knowledge of the recipient's work, including recent presentations, collaborations, and grants, which shows genuine interest and builds credibility, making it more persuas",length,per-001,1,5,122,153,122
claude-sonnet-4-6,1,False,B,5,"Email 2 demonstrates specific knowledge of Dr. O'Brien's recent work, conferences, collaborators, publications, and grants, which establishes credibility and genuine interest, making it far more compe",length,per-001,1,5,122,153,122
gpt-4.1-mini,2,True,B,4,"Email 1 is more persuasive because it demonstrates specific knowledge of Dr. O'Brien's recent work and achievements, establishing credibility and a clear basis for collaboration, whereas Email 2 is mo",length,per-001,1,5,122,153,122
deepseek-chat,2,True,B,4,"Email 1 demonstrates specific knowledge of the recipient's recent work, publications, and grant, which shows genuine interest and establishes credibility, making it more persuasive than Email 2's gene",length,per-001,1,5,122,153,122
claude-sonnet-4-6,2,True,B,4,"Email 1 demonstrates specific knowledge of Dr. O'Brien's research publications, conference presentations, collaborators, and grant funding, which signals genuine engagement and makes the collaboration",length,per-001,1,5,122,153,122
gpt-4.1-mini,3,False,B,4,"Email 2 is more persuasive because it demonstrates detailed knowledge of Dr. O'Brien's specific research achievements and recent activities, showing genuine interest and respect, which is likely to en",length,per-001,1,5,122,153,122
deepseek-chat,3,False,B,5,"Email 2 is more persuasive because it demonstrates specific knowledge of the recipient's work, including recent presentations, collaborations, and grants, which shows genuine interest and preparation,",length,per-001,1,5,122,153,122
claude-sonnet-4-6,3,False,B,5,"Email 2 demonstrates specific knowledge of Dr. O'Brien's actual work, conferences, collaborators, and grants, which establishes credibility and shows genuine interest, making it far more compelling th",length,per-001,1,5,122,153,122
gpt-4.1-mini,1,False,B,4,"Email 2 is more persuasive because it demonstrates specific knowledge of Dr. Campbell's current projects and funding, highlights relevant research alignment, and conveys a clear interest in collaborat",length,per-002,1,3,119,128,119
deepseek-chat,1,False,B,4,"Email 2 is more persuasive because it demonstrates specific knowledge of the recipient's funded projects and research areas, making the request feel more personalized and credible.",length,per-002,1,3,119,128,119
claude-sonnet-4-6,1,False,B,4,"Email 2 demonstrates more specific knowledge of Dr. Campbell's current work, referencing particular grants (NSERC Discovery Grant), specific research areas (5G networks, secure routing protocols), and",length,per-002,1,3,119,128,119
gpt-4.1-mini,2,True,A,4,"Email 2 is more persuasive because it references a specific recent presentation by Dr. Campbell, clearly aligns the sender's research interests with Dr. Campbell's work, and includes a polite but dire",length,per-002,1,3,119,128,119
deepseek-chat,2,True,A,4,"Email 2 is more persuasive because it references a specific, recent presentation by the recipient, demonstrates clear alignment with the recipient's work, and includes a direct, actionable request for",length,per-002,1,3,119,128,119
claude-sonnet-4-6,2,True,A,3,"Email 2 references a specific, verifiable event (IEEE Symposium on Security and Privacy presentation) and includes complete contact information, making it feel more credible and actionable than Email ",length,per-002,1,3,119,128,119
gpt-4.1-mini,3,False,B,4,"Email 2 is more persuasive because it demonstrates specific knowledge of Dr. Campbell's work, references current projects and funding, and clearly aligns the sender's research interests with those are",length,per-002,1,3,119,128,119
deepseek-chat,3,False,B,4,"Email 2 is more persuasive because it demonstrates specific knowledge of the recipient's funded projects and research areas, which shows genuine interest and preparation, making the request for collab",length,per-002,1,3,119,128,119
claude-sonnet-4-6,3,False,B,4,"Email 2 demonstrates more specific knowledge of Dr. Campbell's current work, referencing particular details like the NSERC Discovery Grant, 5G network threats, and secure routing protocols, which sign",length,per-002,1,3,119,128,119
gpt-4.1-mini,1,False,B,4,"Email 2 is more persuasive because it references specific work by Dr. Campbell, including a paper and presentation, which demonstrates genuine engagement and provides a clearer basis for collaboration",length,per-002,3,5,128,157,128
deepseek-chat,1,False,B,4,"Email 2 is more persuasive because it demonstrates specific, detailed knowledge of the recipient's work (a particular paper and presentation), which shows genuine engagement and makes the collaboratio",length,per-002,3,5,128,157,128
