target_id,pair,model,winner
rev-001,S+C-_vs_S-C+,gpt-4.1-mini,A
rev-001,S+C-_vs_S-C+,deepseek-chat,A
rev-001,S+C-_vs_S-C+,claude-sonnet-4-6,A
rev-001,S-C+_vs_S-C-,gpt-4.1-mini,A
rev-001,S-C+_vs_S-C-,deepseek-chat,A
rev-001,S-C+_vs_S-C-,claude-sonnet-4-6,A
rev-002,S+C-_vs_S-C+,gpt-4.1-mini,A
rev-002,S+C-_vs_S-C+,deepseek-chat,A
rev-002,S+C-_vs_S-C+,claude-sonnet-4-6,A
rev-002,S-C+_vs_S-C-,gpt-4.1-mini,B
rev-002,S-C+_vs_S-C-,deepseek-chat,B
rev-002,S-C+_vs_S-C-,claude-sonnet-4-6,B
rev-003,S+C-_vs_S-C+,gpt-4.1-mini,A
rev-003,S+C-_vs_S-C+,deepseek-chat,A
rev-003,S+C-_vs_S-C+,claude-sonnet-4-6,A
rev-003,S-C+_vs_S-C-,gpt-4.1-mini,B
rev-003,S-C+_vs_S-C-,deepseek-chat,B
rev-003,S-C+_vs_S-C-,claude-sonnet-4-6,B
rev-006,S+C-_vs_S-C+,gpt-4.1-mini,A
rev-006,S+C-_vs_S-C+,deepseek-chat,A
rev-006,S+C-_vs_S-C+,claude-sonnet-4-6,A
rev-006,S-C+_vs_S-C-,gpt-4.1-mini,B
rev-006,S-C+_vs_S-C-,deepseek-chat,B
rev-006,S-C+_vs_S-C-,claude-sonnet-4-6,B
rev-008,S+C-_vs_S-C+,gpt-4.1-mini,B
rev-008,S+C-_vs_S-C+,deepseek-chat,B
rev-008,S+C-_vs_S-C+,claude-sonnet-4-6,A
rev-008,S-C+_vs_S-C-,gpt-4.1-mini,A
rev-008,S-C+_vs_S-C-,deepseek-chat,A
rev-008,S-C+_vs_S-C-,claude-sonnet-4-6,A
rev-009,S+C-_vs_S-C+,gpt-4.1-mini,A
rev-009,S+C-_vs_S-C+,deepseek-chat,A
rev-009,S+C-_vs_S-C+,claude-sonnet-4-6,A
rev-009,S-C+_vs_S-C-,gpt-4.1-mini,A
rev-009,S-C+_vs_S-C-,deepseek-chat,B
rev-009,S-C+_vs_S-C-,claude-sonnet-4-6,B
rev-011,S+C-_vs_S-C+,gpt-4.1-mini,A
rev-011,S+C-_vs_S-C+,deepseek-chat,A
rev-011,S+C-_vs_S-C+,claude-sonnet-4-6,A
rev-011,S-C+_vs_S-C-,gpt-4.1-mini,B
rev-011,S-C+_vs_S-C-,deepseek-chat,A
rev-011,S-C+_vs_S-C-,claude-sonnet-4-6,B
rev-019,S+C-_vs_S-C+,gpt-4.1-mini,A
rev-019,S+C-_vs_S-C+,deepseek-chat,A
rev-019,S+C-_vs_S-C+,claude-sonnet-4-6,A
rev-019,S-C+_vs_S-C-,gpt-4.1-mini,B
rev-019,S-C+_vs_S-C-,deepseek-chat,B
rev-019,S-C+_vs_S-C-,claude-sonnet-4-6,B
rev-023,S+C-_vs_S-C+,gpt-4.1-mini,A
rev-023,S+C-_vs_S-C+,deepseek-chat,A
rev-023,S+C-_vs_S-C+,claude-sonnet-4-6,A
rev-023,S-C+_vs_S-C-,gpt-4.1-mini,A
rev-023,S-C+_vs_S-C-,deepseek-chat,A
rev-023,S-C+_vs_S-C-,claude-sonnet-4-6,A
rev-025,S+C-_vs_S-C+,gpt-4.1-mini,A
rev-025,S+C-_vs_S-C+,deepseek-chat,A
rev-025,S+C-_vs_S-C+,claude-sonnet-4-6,A
rev-025,S-C+_vs_S-C-,gpt-4.1-mini,B
rev-025,S-C+_vs_S-C-,deepseek-chat,A
rev-025,S-C+_vs_S-C-,claude-sonnet-4-6,B
rev-027,S+C-_vs_S-C+,gpt-4.1-mini,A
rev-027,S+C-_vs_S-C+,deepseek-chat,A
rev-027,S+C-_vs_S-C+,claude-sonnet-4-6,A
rev-027,S-C+_vs_S-C-,gpt-4.1-mini,A
rev-027,S-C+_vs_S-C-,deepseek-chat,A
rev-027,S-C+_vs_S-C-,claude-sonnet-4-6,A
rev-028,S+C-_vs_S-C+,gpt-4.1-mini,B
rev-028,S+C-_vs_S-C+,deepseek-chat,B
rev-028,S+C-_vs_S-C+,claude-sonnet-4-6,B
rev-028,S-C+_vs_S-C-,gpt-4.1-mini,A
rev-028,S-C+_vs_S-C-,deepseek-chat,A
rev-028,S-C+_vs_S-C-,claude-sonnet-4-6,A
rev-029,S+C-_vs_S-C+,gpt-4.1-mini,A
rev-029,S+C-_vs_S-C+,deepseek-chat,A
rev-029,S+C-_vs_S-C+,claude-sonnet-4-6,A
rev-029,S-C+_vs_S-C-,gpt-4.1-mini,B
rev-029,S-C+_vs_S-C-,deepseek-chat,B
rev-029,S-C+_vs_S-C-,claude-sonnet-4-6,B
rev-031,S+C-_vs_S-C+,gpt-4.1-mini,B
rev-031,S+C-_vs_S-C+,deepseek-chat,B
rev-031,S+C-_vs_S-C+,claude-sonnet-4-6,B
rev-031,S-C+_vs_S-C-,gpt-4.1-mini,A
rev-031,S-C+_vs_S-C-,deepseek-chat,A
rev-031,S-C+_vs_S-C-,claude-sonnet-4-6,A
rev-033,S+C-_vs_S-C+,gpt-4.1-mini,B
rev-033,S+C-_vs_S-C+,deepseek-chat,B
rev-033,S+C-_vs_S-C+,claude-sonnet-4-6,A
rev-033,S-C+_vs_S-C-,gpt-4.1-mini,A
rev-033,S-C+_vs_S-C-,deepseek-chat,A
rev-033,S-C+_vs_S-C-,claude-sonnet-4-6,A
rev-036,S+C-_vs_S-C+,gpt-4.1-mini,A
rev-036,S+C-_vs_S-C+,deepseek-chat,A
rev-036,S+C-_vs_S-C+,claude-sonnet-4-6,B
rev-036,S-C+_vs_S-C-,gpt-4.1-mini,B
rev-036,S-C+_vs_S-C-,deepseek-chat,B
