word_count,flesch_reading_ease,flesch_kincaid_grade,named_entity_count,cta_cue_count,pronoun_first,pronoun_second,hedging_density,formality_density,target_id,hook_level,error
94,34.7,11.3,5,2,0.0319,0.0532,0.0,0.0,per-001,1,False
112,35.5,11.8,5,1,0.0446,0.0446,0.0089,0.0,per-001,3,False
160,25.6,13.7,9,1,0.025,0.0437,0.0063,0.0,per-001,5,False
77,42.1,9.8,4,2,0.026,0.0519,0.0,0.0,per-002,1,False
117,36.0,11.5,7,2,0.0342,0.0598,0.0,0.0,per-002,3,False
164,30.2,12.7,10,2,0.0244,0.0488,0.0,0.0,per-002,5,False
75,36.0,10.6,4,2,0.04,0.0533,0.0,0.0,per-003,1,False
124,28.0,13.2,7,1,0.0323,0.0403,0.0,0.0,per-003,3,False
158,24.3,13.8,10,2,0.0253,0.057,0.0,0.0,per-003,5,False
76,-3.1,16.8,3,1,0.0263,0.0263,0.0,0.0,per-004,1,False
119,18.2,14.9,8,1,0.0168,0.042,0.0,0.0,per-004,3,False
160,15.2,16.1,8,2,0.025,0.05,0.0,0.0,per-004,5,False
78,32.0,12.0,3,2,0.0385,0.0513,0.0,0.0,per-005,1,False
115,40.0,11.3,6,3,0.0261,0.0783,0.0087,0.0,per-005,3,False
135,26.2,13.3,7,1,0.0222,0.0593,0.0074,0.0,per-005,5,False
72,51.9,8.6,4,2,0.0417,0.0417,0.0139,0.0,per-006,1,False
117,31.7,12.1,6,2,0.0427,0.0427,0.0085,0.0,per-006,3,False
139,35.7,11.7,7,2,0.036,0.0576,0.0072,0.0,per-006,5,False
93,42.2,10.3,4,2,0.0215,0.043,0.0,0.0,per-007,1,False
119,34.6,12.1,5,1,0.0336,0.0588,0.0,0.0,per-007,3,False
153,23.2,13.8,8,2,0.0392,0.0588,0.0,0.0,per-007,5,False
76,28.8,11.9,4,2,0.0395,0.0658,0.0,0.0,per-008,1,False
116,22.4,13.3,7,2,0.0345,0.0345,0.0086,0.0,per-008,3,False
150,23.8,13.3,9,2,0.0267,0.0533,0.0067,0.0,per-008,5,False
85,41.2,10.5,3,1,0.0588,0.0353,0.0118,0.0,per-009,1,False
131,30.1,12.0,10,2,0.0305,0.0458,0.0,0.0,per-009,3,False
145,29.9,12.7,10,1,0.0345,0.0552,0.0069,0.0,per-009,5,False
92,36.1,11.1,4,2,0.0326,0.0543,0.0,0.0,per-010,1,False
125,37.1,11.5,7,2,0.064,0.056,0.008,0.0,per-010,3,False
149,31.1,13.0,8,2,0.0403,0.0537,0.0067,0.0,per-010,5,False
83,40.9,11.0,4,2,0.0361,0.0723,0.0,0.0,per-011,1,False
136,28.5,13.5,6,1,0.0368,0.0441,0.0147,0.0,per-011,3,False
148,19.8,14.6,10,1,0.0203,0.0541,0.0135,0.0,per-011,5,False
77,45.4,9.3,3,2,0.0519,0.0649,0.0,0.0,per-012,1,False
119,39.8,10.7,5,2,0.0336,0.0504,0.0084,0.0,per-012,3,False
169,26.3,13.1,7,2,0.0237,0.0592,0.0,0.0,per-012,5,False
82,53.7,9.2,3,1,0.0488,0.0488,0.0122,0.0,per-013,1,False
120,48.0,9.5,4,2,0.0333,0.0417,0.0083,0.0,per-013,3,False
132,35.1,11.6,6,1,0.0303,0.053,0.0076,0.0,per-013,5,False
