target_id,persona_name,S+C-_subject,S+C-_body,S-C+_subject,S-C+_body
per-001,Dr. Jack O'Brien,Nomination for the 2025 Distinguished Researcher Award – IEEE International Symposium on Information Security,"Dear Dr. [SYNTHETIC_PERSONA],

On behalf of the Program Committee of the IEEE International Symposium on Information Security and Privacy (ISISP 2025), to be held September 14–17, 2025, at the Marriott Marquis, Washington D.C., I am pleased to inform you that you have been nominated for the Distinguished Researcher Award in Cybersecurity and Applied Cryptography.

This award, established in 2009 by the IEEE Technical Committee on Security and Privacy, recognizes outstanding contributions to the broader field of information security. Past recipients include faculty from MIT, Carnegie Mellon, ETH Zürich, and Stanford University.

The nomination was submitted by the Awards Subcommittee chaired by Prof. Eleanor Hartfield (University of Edinburgh) and seconded by Prof. James Okonkwo (Georgia Institute of Technology).

To formally accept this nomination, please complete the enclosed acceptance form (Ref: ISISP-2025-AWD-0447) and return it to awards@isisp-conference.org no later than March 31, 2025.

We look forward to your participation.

Sincerely,
Dr. Margaret L. Thornton
General Chair, ISISP 2025",Quick question about your work,"Hi,

I came across some of your research recently and found it really interesting. I had a quick question about your general approach to the problem space you work in. Would you be open to a brief chat sometime?

Thanks for your time."
per-002,Dr. Heather Campbell,Nomination for the 2025 Distinguished Scholar Award – International Symposium on Computational Sciences,"Dear Dr. [Researcher Name],

I am writing on behalf of the Awards and Recognition Committee of the International Symposium on Computational Sciences (ISCS), scheduled to convene on March 14–17, 2025, at the Harrington Convention Centre, Edinburgh, United Kingdom.

Following deliberations by our selection panel — comprising Professor Eleanor Whitfield (MIT), Dr. Rajiv Anand (ETH Zürich), and Dr. Camille Fontaine (Sorbonne Université) — your name has been formally put forward as a nominee for the 2025 Distinguished Scholar Award in recognition of sustained contributions to your field.

The award ceremony will take place on the evening of March 16th in the Grand Ballroom. Nominees are requested to confirm their availability no later than January 31, 2025, by contacting our Secretariat at awards@iscs-symposium.org.

Travel and accommodation support may be available upon request. Please find attached the formal nomination documentation and program schedule for your review.

We look forward to your participation.

Warm regards,
Professor James Harrington
Chair, ISCS Awards Committee",Quick question about your work,"Hi,

I came across some of your research recently and found it really interesting. I had a quick question about your general approach to the topic — would you be open to a brief chat sometime?

No pressure at all. Thanks for your time.

Best"
per-003,Dr. Kenji Takahashi,Nomination for the 2025 Distinguished Scholar Award – International Symposium on Computational Sciences,"Dear Dr. [Surname],

It is with great pleasure that the Awards Committee of the International Symposium on Computational Sciences (ISCS) formally notifies you of your nomination for the 2025 Distinguished Scholar Award in Applied Research Excellence.

The symposium will be held from September 14–17, 2025, at the Meridian Conference Centre, Geneva, Switzerland. The Awards Ceremony is scheduled for the evening of September 16th, hosted by Professor Eleanor Hartmann, Chair of the ISCS Steering Committee.

Nominees are evaluated by a panel including Dr. Marcus Oyelaran (University of Edinburgh), Professor Liang Wei (ETH Zürich), and Dr. Fatima Al-Rashidi (MIT Lincoln Laboratory). The selection criteria encompass scholarly impact, interdisciplinary contribution, and professional service.

To confirm your nomination, please submit a brief biographical statement and curriculum vitae no later than July 31, 2025, via our secure portal at submissions.iscs-conference.org.

We look forward to your participation.

Sincerely,
Dr. Jonathan Pemberton
Secretary General, ISCS Awards Committee",Quick question about your work,"Hi,

I came across some of your research recently and found it really interesting. I had a quick question about your general approach to the problem space you work in. Would you be open to a brief chat sometime?

Thanks for your time."
per-004,Dr. Anya Petrova,Nomination for the 2025 Distinguished Scholar Award – International Symposium on Computational Sciences,"Dear Dr. [Surname],

It is with great pleasure that the Awards Committee of the International Symposium on Computational Sciences (ISCS) formally notifies you of your nomination for the 2025 Distinguished Scholar Award in Applied Research.

The symposium will be held from September 14–17, 2025, at the Meridian Conference Centre, Geneva, Switzerland. The Awards Ceremony is scheduled for the evening of September 16th, hosted in the Grand Ballroom.

The ISCS Distinguished Scholar Award, established in 1998 by the Foundation for Advancing Scientific Excellence (FASE), recognizes outstanding contributions to the broader academic community. Previous recipients include Professor Helena Voss (ETH Zürich, 2023) and Dr. Rajiv Anand (MIT, 2022).

To confirm your nomination, please submit a brief biographical statement and curriculum vitae no later than July 31, 2025, to the Committee Secretariat at awards@iscs-symposium.org.

We look forward to celebrating your contributions to the field.

Warm regards,
Professor Margaret L. Thornton
Chair, ISCS Awards Committee",Quick question about your work,"Hi,

I came across some of your research recently and found it really interesting. I had a quick question about your general approach to the problem space you work in. Would you be open to a brief chat sometime?

Thanks for your time."
per-005,Dr. Raj Kumar,Nomination for the 2025 Distinguished Scholar Award – International Symposium on Computational Sciences,"Dear Distinguished Colleague,

On behalf of the Awards and Recognition Committee of the International Symposium on Computational Sciences (ISCS), I am honored to formally notify you of your nomination for the 2025 Distinguished Scholar Award in Applied Research Excellence.

The symposium will convene from September 14–17, 2025, at the Meridian Convention Centre, Geneva, Switzerland. The selection committee, chaired by Professor Eleanor Hartfield of the University of Edinburgh and co-chaired by Dr. Rajiv Menon of the Massachusetts Institute of Technology, will review all nominations submitted before the July 31, 2025 deadline.

This award, established in 2009 through a grant from the Whitmore Foundation, recognizes outstanding contributions to the broader academic community. Previous recipients include scholars from Stanford University, ETH Zürich, and the National University of Singapore.

To confirm your acceptance of this nomination, please complete the enclosed verification form and return it to awards@iscs-symposium.org by the stated deadline.

We look forward to your participation.

Sincerely,
Professor Margaret L. Thornton
Chair, ISCS Awards Committee",Quick question about your work,"Hi,

I came across some of your research recently and found it really interesting. I had a quick question about your general approach to the problem space you work in. Would you be open to a brief chat sometime?

Thanks for your time."
per-006,Dr. Jun Wei Lim,Nomination for the 2025 Distinguished Scholar Award – International Symposium on Computational Sciences,"Dear Distinguished Colleague,

On behalf of the Awards and Recognition Committee of the International Symposium on Computational Sciences (ISCS), I am honored to formally notify you of your nomination for the 2025 Distinguished Scholar Award in Applied Research Excellence.

The symposium will convene from September 14–17, 2025, at the Meridian Conference Centre, Geneva, Switzerland. The Awards Ceremony is scheduled for the evening of September 16th, hosted in the Grand Ballroom.

The ISCS Distinguished Scholar Award, established in 1998 through a endowment by the Hargrove Foundation, recognizes outstanding contributions to the broader computational sciences community. Previous recipients include faculty from MIT, ETH Zürich, and the University of Tokyo.

To confirm your nomination acceptance, please submit the enclosed Nominee Acknowledgment Form to awards-committee@iscs-symposium.org no later than July 31, 2025. Supporting documentation, including a two-page biography and curriculum vitae, should accompany your submission.

We look forward to celebrating your contributions to the field.

Sincerely,
Professor Margaret L. Thornton
Chair, ISCS Awards and Recognition Committee",Quick question about your work,"Hi,

I came across some of your research recently and found it really interesting. I had a quick question about your methodology in one of your recent papers. Would you have a few minutes to chat sometime this week?

Thanks so much,
A colleague"
per-007,Dr. Emma van den Berg,Nomination for the 2025 Distinguished Scholar Award – International Symposium on Computational Sciences,"Dear Dr. [Surname],

I am writing on behalf of the Awards and Recognition Committee of the International Symposium on Computational Sciences (ISCS), scheduled for March 14–17, 2025, at the Harrington Convention Centre, Edinburgh, United Kingdom.

Following deliberations held on November 8, 2024, the Committee has formally nominated you for the Distinguished Scholar Award, presented annually to recognize outstanding contributions to the broader field of computational and applied sciences.

The nomination was submitted by Professor Eleanor Whitfield (University of Warwick) and seconded by Professor James Okafor (ETH Zürich). The award ceremony will take place during the Gala Dinner on March 16, 2025.

To confirm your acceptance of this nomination, please complete the enclosed acceptance form (Form ISCS-2025-DSA-07) and return it to awards@iscs-symposium.org no later than December 20, 2024.

Should you require further information, please do not hesitate to contact our Secretariat directly.

Yours sincerely,
Professor Margaret Holloway
Chair, Awards and Recognition Committee
International Symposium on Computational Sciences",Quick question about your work,"Hi,

I came across some of your research recently and found it really interesting. I had a quick question about your general approach to the topic — would you be open to a brief chat sometime?

No pressure at all. Thanks for your time.

Best"
per-008,Dr. Oluwaseun Adeyemi,Nomination for the 2025 Distinguished Scholar Award – International Symposium on Computational Sciences,"Dear Distinguished Colleague,

On behalf of the Program Committee of the 14th International Symposium on Computational Sciences (ISCS 2025), to be held September 18–21, 2025, at the Grand Meridian Conference Centre, Geneva, Switzerland, it is my great honor to inform you that you have been nominated for the ISCS Distinguished Scholar Award.

This prestigious recognition, established in 2009 by the International Federation of Computational Research Societies (IFCRS), is awarded annually to no more than three scholars whose contributions have meaningfully advanced the field. Previous recipients include Professor Eleanor Hartmann (ETH Zürich, 2022), Dr. Rajiv Subramaniam (MIT, 2023), and Professor Lena Voss (TU Berlin, 2024).

The nomination was submitted by the ISCS Awards Subcommittee, chaired by Professor James Whitfield, and seconded by Dr. Amara Okonkwo of the University of Edinburgh.

To accept this nomination, please complete the enclosed acceptance form by June 30, 2025, and return it to awards@iscs2025.org.

We look forward to celebrating your achievements in Geneva.

Sincerely,
Professor Heinrich Brandt
General Chair, ISCS 2025",Quick question about your work,"Hi,

I came across some of your research recently and found it really interesting. I had a quick question about your general approach to the topic — would you be open to a brief chat sometime?

No pressure at all. Thanks for your time.

Best"
per-009,Dr. Zahra Mohammadi,Nomination for the 2025 Distinguished Scholar Award – International Symposium on Computational Sciences,"Dear Dr. [Surname],

I am writing on behalf of the Awards and Recognition Committee of the International Symposium on Computational Sciences (ISCS), to formally notify you of your nomination for the 2025 Distinguished Scholar Award in Applied Research.

The symposium will be held from September 14–17, 2025, at the Meridian Convention Centre, Geneva, Switzerland. The Distinguished Scholar Award, established in 2003 by the ISCS Governing Board, recognizes outstanding contributions to the broader academic community.

Your nomination was submitted by the Regional Academic Council of North America and reviewed by our selection panel, chaired by Professor Eleanor Hartmann of ETH Zurich and Professor James Okafor of MIT.

To proceed, please confirm your acceptance by August 1, 2025, by contacting our Secretariat at awards@iscs-symposium.org. Acceptance includes a complimentary registration, travel stipend of up to USD 1,500, and a keynote speaking opportunity.

We look forward to your participation.

Warm regards,
Dr. Margaret Voss
Chair, ISCS Awards Committee",Quick question about your work,"Hi,

I came across some of your research recently and found it really interesting. I had a quick question about your general approach to the topic — would you be open to a brief chat sometime?

No pressure at all. Thanks for your time.

Best"
per-010,Dr. Nicolas Leroy,Nomination for the 2025 Distinguished Scholar Award – International Symposium on Emerging Technologies (ISET-2025),"Dear Dr. [Recipient],

On behalf of the Awards and Recognition Committee of the International Symposium on Emerging Technologies (ISET-2025), I am pleased to inform you that you have been formally nominated for the Distinguished Scholar Award in recognition of your contributions to the academic community.

ISET-2025 will be held from September 14–17, 2025, at the Grand Meridian Conference Centre, Geneva, Switzerland. The awards ceremony is scheduled for the evening of September 16th, hosted by Committee Chair Professor Eleanor Hartmann of the Zurich Institute for Advanced Studies.

Nominations were reviewed by a panel including representatives from MIT, ETH Zurich, and the European Research Council. The selection deadline is June 30, 2025. Should you accept, please complete the enclosed nomination acceptance form and return it to awards@iset2025.org by July 15, 2025.

We would be honored by your participation.

Sincerely,
Dr. Marcus Albright
Secretary General, ISET Awards Committee
albright@iset2025.org | +41 22 555 0192",Quick question about your work,"Hi,

I came across some of your research recently and found it really interesting. I had a quick question about your general approach to the topic — would you be open to a brief chat sometime?

No pressure at all. Thanks for your time.

Best"
